state,county,tract,C18108_003E,C18108_004E,C18108_005E,C18108_007E,C18108_008E,C18108_009E,C18108_011E,C18108_012E,C18108_013E
48,001,950100,12,0,1020,208,182,2775,160,133,603
48,001,950401,0,0,87,0,7,233,0,0,6
48,001,950402,4,0,24,35,0,158,0,0,0
48,001,950500,67,45,1340,301,70,2192,67,73,410
48,001,950600,32,0,1841,188,182,3405,93,193,421
48,001,950700,10,0,660,73,159,1231,33,71,166
48,001,950800,11,0,1091,256,81,2649,136,233,480
48,001,950901,0,8,1065,157,196,2651,96,143,484
48,001,950902,44,4,1126,172,128,2530,107,236,682
48,001,951000,23,13,1655,302,178,3890,263,247,726
48,001,951100,0,0,1088,148,106,2544,133,125,607
48,003,950100,15,0,589,60,22,1126,26,11,145
48,003,950200,35,0,1613,166,103,4005,173,270,438
48,003,950300,64,38,1541,228,49,2043,108,122,178
48,003,950400,42,9,796,201,70,1570,63,60,63
48,005,000101,41,12,1404,158,481,2991,143,199,481
48,005,000102,39,26,1643,227,172,2397,22,94,343
48,005,000200,89,0,2140,369,379,3104,130,242,362
48,005,000301,0,0,1009,244,219,2280,151,213,368
48,005,000302,58,0,1363,125,239,2298,216,162,210
48,005,000400,15,8,1328,237,381,2487,249,205,320
48,005,000500,78,29,520,265,319,1844,162,248,219
48,005,000600,65,38,1806,215,378,3083,120,206,201
48,005,000700,104,26,1351,121,158,2003,41,94,100
48,005,000800,53,54,1463,321,467,2774,213,228,693
48,005,000901,110,12,1621,299,130,3202,260,312,670
48,005,000902,14,9,304,258,64,1709,58,39,398
48,005,001001,20,3,1573,279,118,2375,59,136,279
48,005,001002,34,19,1167,219,251,2530,79,91,331
48,005,001100,73,190,1127,569,646,2514,167,203,415
48,005,001200,67,10,370,154,227,1164,159,247,412
48,005,001300,69,11,1460,427,261,2126,220,210,444
48,007,950100,25,0,982,155,335,2445,491,322,884
48,007,950200,0,21,85,19,44,398,121,33,425
48,007,950300,147,14,1330,220,165,3579,385,231,965
48,007,950400,52,0,733,284,265,1437,62,162,386
48,007,950500,126,0,1040,380,622,2738,138,431,807
48,007,990000,0,0,0,0,0,0,0,0,0
48,009,020100,2,10,620,108,105,1539,100,51,274
48,009,020200,32,8,522,89,74,1504,95,136,236
48,009,020300,22,18,797,96,103,1644,123,165,302
48,011,950100,5,7,419,44,81,950,87,67,217
48,013,960100,26,57,1905,171,103,3726,197,178,712
48,013,960201,47,18,2096,208,181,3876,136,130,391
48,013,960202,189,16,2798,456,458,4705,351,144,577
48,013,960300,0,48,1076,165,157,1773,110,55,332
48,013,960401,43,0,532,105,114,1022,72,69,179
48,013,960402,107,0,2028,185,284,4099,139,258,539
48,013,960500,19,0,821,105,108,1386,69,62,345
48,013,960600,10,82,1186,157,170,3130,99,292,522
48,015,760100,15,0,534,101,62,1328,63,85,179
48,015,760200,69,5,1626,342,129,3091,158,198,492
48,015,760300,18,14,1687,153,81,4187,62,87,803
48,015,760400,100,0,720,135,188,1601,84,209,536
48,015,760501,11,16,935,126,76,2403,130,215,503
48,015,760502,22,0,1323,206,118,2466,170,141,490
48,017,950100,33,0,2116,308,90,3545,131,284,462
48,019,000101,13,0,925,191,73,2182,147,158,672
48,019,000102,52,0,679,236,128,2475,166,336,604
48,019,000200,5,0,279,46,380,996,189,156,544
48,019,000300,41,0,1357,165,277,3643,323,173,515
48,019,000400,30,0,362,80,129,1241,125,113,253
48,021,950100,46,2,2500,314,402,5075,305,352,635
48,021,950200,108,67,2220,126,101,4142,153,179,643
48,021,950300,45,116,3252,482,542,7348,406,318,1164
48,021,950400,47,37,1641,493,228,3955,202,229,672
48,021,950501,36,0,1808,284,254,3717,0,133,394
48,021,950502,55,0,1264,179,276,2963,59,67,549
48,021,950600,0,0,1137,250,184,2789,76,217,341
48,021,950700,43,0,1040,186,123,1865,191,173,391
48,021,950801,47,0,1986,296,301,3842,97,119,275
48,021,950802,154,0,1875,163,156,3914,127,65,552
48,023,950300,3,0,771,207,78,1669,225,200,423
48,025,950100,20,7,397,71,69,965,75,86,152
48,025,950201,8,13,273,0,19,731,12,23,38
48,025,950202,77,0,1303,239,176,2424,264,244,439
48,025,950300,17,18,1339,364,173,2510,117,164,331
48,025,950400,7,8,514,213,142,900,34,188,188
48,025,950500,231,14,2077,348,237,3338,81,133,391
48,025,950600,25,0,487,150,154,1220,88,162,261
48,027,020100,117,13,1182,193,162,3650,182,244,469
48,027,020201,56,0,2362,240,123,3510,83,193,543
48,027,020202,73,22,1496,137,200,3019,81,145,505
48,027,020300,94,37,2941,179,167,5081,203,136,405
48,027,020401,21,0,759,62,151,1470,106,111,226
48,027,020402,62,4,543,36,172,1050,48,161,206
48,027,020500,15,11,1041,150,140,2124,74,117,414
48,027,020600,94,17,723,66,74,1518,61,121,205
48,027,020701,0,0,178,56,144,379,92,64,148
48,027,020702,70,0,489,271,99,1055,69,98,66
48,027,020800,11,9,984,229,277,1790,75,92,285
48,027,020900,34,6,470,118,183,1098,102,65,156
48,027,021000,63,0,905,286,218,2332,71,112,172
48,027,021100,92,0,1105,380,132,2808,213,91,468
48,027,021201,0,0,645,89,59,1562,83,193,175
48,027,021202,20,0,1247,93,76,2241,169,101,286
48,027,021203,0,0,852,117,24,2170,141,238,481
48,027,021301,0,0,1042,109,52,2648,142,273,494
48,027,021302,25,18,356,64,70,1597,180,114,664
48,027,021303,32,0,1530,263,220,3507,128,404,455
48,027,021400,3,12,926,112,132,1996,134,108,356
48,027,021500,20,43,1773,216,202,3918,138,113,392
48,027,021601,47,47,1220,218,135,2638,53,173,421
48,027,021602,6,7,355,105,45,1888,39,45,65
48,027,021700,141,25,1925,351,229,3716,308,208,774
48,027,021800,111,78,2367,342,343,3187,144,99,333
48,027,021901,0,0,711,144,82,2039,71,195,232
48,027,021903,203,91,3178,341,430,4198,64,99,315
48,027,021904,152,82,2441,257,291,4616,125,144,405
48,027,022000,205,32,2032,499,336,4055,149,134,256
48,027,022101,103,0,1137,357,231,2062,91,188,219
48,027,022103,9,17,1576,94,234,2632,40,23,91
