state,county,tract,B23001_005E,B23001_007E,B23001_008E,B23001_009E,B23001_012E,B23001_014E,B23001_015E,B23001_016E,B23001_019E,B23001_021E,B23001_022E,B23001_023E,B23001_026E,B23001_028E,B23001_029E,B23001_030E,B23001_033E,B23001_035E,B23001_036E,B23001_037E,B23001_040E,B23001_042E,B23001_043E,B23001_044E,B23001_047E,B23001_049E,B23001_050E,B23001_051E,B23001_054E,B23001_056E,B23001_057E,B23001_058E,B23001_061E,B23001_063E,B23001_064E,B23001_065E,B23001_068E,B23001_070E,B23001_071E,B23001_072E,B23001_075E,B23001_076E,B23001_077E,B23001_080E,B23001_081E,B23001_082E,B23001_085E,B23001_086E,B23001_087E,B23001_091E,B23001_093E,B23001_094E,B23001_095E,B23001_098E,B23001_100E,B23001_101E,B23001_102E,B23001_105E,B23001_107E,B23001_108E,B23001_109E,B23001_112E,B23001_114E,B23001_115E,B23001_116E,B23001_119E,B23001_121E,B23001_122E,B23001_123E,B23001_126E,B23001_128E,B23001_129E,B23001_130E,B23001_133E,B23001_135E,B23001_136E,B23001_137E,B23001_140E,B23001_142E,B23001_143E,B23001_144E,B23001_147E,B23001_149E,B23001_150E,B23001_151E,B23001_154E,B23001_156E,B23001_157E,B23001_158E,B23001_161E,B23001_162E,B23001_163E,B23001_166E,B23001_167E,B23001_168E,B23001_171E,B23001_172E,B23001_173E
48,001,950100,0,84,28,72,0,0,0,7,0,21,5,12,0,48,0,13,0,193,4,96,0,235,0,71,0,276,63,51,0,156,0,32,0,50,0,15,0,119,0,26,44,0,111,6,0,89,12,0,179,0,7,0,46,0,42,2,30,0,78,3,27,0,71,19,12,0,101,13,25,0,241,21,74,0,252,0,133,0,110,0,152,0,21,0,10,0,64,0,85,25,0,101,6,0,113,2,0,248
48,001,950401,0,0,25,182,0,0,0,270,0,0,0,454,0,6,0,932,0,4,0,873,0,64,0,1447,0,13,0,990,0,0,0,279,0,0,0,64,0,0,0,9,0,0,84,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,27,0,0,0,3,0,0,0,29,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
48,001,950402,0,0,0,22,0,0,0,43,0,0,0,275,0,0,0,614,0,0,0,909,0,44,0,1597,0,22,0,1247,0,0,0,348,0,0,0,100,0,0,0,93,0,0,92,0,0,51,0,0,0,0,0,0,35,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,35,0,0,0,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,001,950500,0,3,0,64,0,17,10,92,0,118,0,50,0,60,0,0,8,60,51,8,0,175,41,27,0,283,12,131,0,81,0,49,0,9,0,0,0,17,0,15,26,0,92,23,0,57,0,0,27,0,14,0,150,0,37,0,8,0,92,0,51,0,147,16,31,0,122,9,61,0,97,0,71,0,205,0,51,0,37,12,62,0,9,12,7,0,34,0,35,19,0,88,18,0,61,12,0,192
48,001,950600,0,20,0,116,0,108,0,9,0,25,0,0,0,136,0,11,0,373,0,28,0,644,15,22,0,285,1,94,0,49,0,11,0,19,0,45,0,88,0,15,61,0,72,0,0,33,0,0,104,0,37,40,53,0,61,0,73,0,27,0,36,0,93,0,65,0,93,0,204,0,211,11,153,0,167,9,52,0,94,0,109,0,63,0,43,0,35,0,69,64,0,76,10,0,64,7,0,309
48,001,950700,0,0,16,54,0,19,0,104,0,20,0,47,0,51,0,34,0,72,32,35,0,127,0,39,0,43,30,141,0,31,0,26,0,9,2,11,0,4,0,13,20,0,9,18,0,20,0,0,38,0,14,16,93,0,72,7,6,0,66,0,0,0,47,0,13,0,33,0,38,0,41,2,71,0,79,5,69,0,29,0,23,0,25,0,16,0,6,0,26,14,0,15,0,0,55,10,0,77
48,001,950800,0,28,0,33,0,109,0,0,0,81,0,15,0,203,0,0,0,115,0,0,0,582,0,126,0,103,55,21,0,141,0,17,0,54,0,0,0,58,0,30,31,0,0,28,0,0,50,0,127,0,0,0,0,0,0,0,0,0,82,0,0,0,206,35,0,0,89,0,19,0,111,0,138,0,231,14,50,0,53,0,82,0,66,0,0,0,24,0,48,96,0,111,14,0,92,13,0,287
48,001,950901,0,28,20,97,0,11,33,0,0,82,7,1,0,42,0,62,0,77,0,47,0,310,0,262,0,413,0,305,0,137,0,168,0,59,16,79,0,35,0,168,114,0,145,0,0,145,0,0,99,0,77,0,29,0,37,0,31,0,88,0,47,0,75,0,40,0,66,11,6,0,232,15,59,0,206,0,133,0,124,0,46,0,63,0,49,0,28,0,33,33,0,109,17,0,34,18,0,103
48,001,950902,0,64,3,96,0,61,0,4,0,34,0,0,0,34,15,0,0,49,0,0,0,334,0,0,0,374,43,114,0,101,0,24,0,45,0,34,0,40,0,31,1,0,99,19,0,108,34,0,250,0,10,0,43,0,44,0,6,0,0,0,26,0,115,0,34,0,62,0,33,0,176,0,97,0,309,0,56,0,143,0,11,0,21,0,60,0,70,0,92,49,0,143,14,0,65,24,0,219
48,001,951000,0,68,8,210,0,12,0,26,0,95,34,5,0,249,0,28,0,197,0,7,7,453,27,75,0,370,8,66,0,248,49,42,0,37,0,40,0,35,0,42,35,15,211,66,0,95,33,0,189,0,48,2,139,0,51,0,0,0,63,0,10,0,123,0,63,0,135,14,59,0,351,0,161,0,464,10,141,0,53,0,162,0,21,0,34,0,3,0,113,24,0,172,19,0,139,38,0,263
48,001,951100,0,25,11,97,0,6,0,74,0,79,46,63,0,58,3,18,0,71,0,5,0,243,13,48,0,304,17,22,0,132,0,53,0,32,0,47,0,22,5,49,33,0,87,0,0,99,7,0,149,0,34,9,69,0,12,21,11,0,41,31,49,0,26,9,41,0,47,34,68,0,126,0,62,0,277,6,64,0,97,0,98,0,49,0,38,0,27,10,69,39,0,96,20,0,190,0,0,145
48,003,950100,0,10,0,90,0,22,0,0,0,30,0,0,0,14,0,0,0,12,3,11,0,123,0,19,0,160,9,4,0,68,0,4,0,27,0,0,0,9,0,6,4,0,7,0,0,12,30,0,16,0,21,0,56,0,0,19,12,0,48,0,0,0,27,0,11,0,23,0,0,0,85,0,104,0,123,0,35,0,35,0,18,0,20,0,9,0,0,0,5,0,0,41,0,0,23,0,0,49
48,003,950200,0,133,68,142,0,74,0,0,0,190,0,0,0,271,36,55,0,232,14,0,4,549,0,14,0,329,0,80,0,96,0,42,0,59,0,20,0,158,0,0,49,0,71,0,0,37,0,0,212,0,0,38,92,0,0,0,23,0,28,0,111,0,163,0,56,0,209,0,89,0,260,0,92,0,339,13,99,0,129,0,58,0,37,0,43,0,73,0,54,20,0,105,12,0,104,17,0,316
48,003,950300,0,87,0,48,0,40,0,13,0,17,0,0,0,149,0,0,0,88,0,0,0,158,11,43,0,252,0,1,0,88,0,18,0,6,0,12,0,53,0,14,25,0,29,12,0,84,9,0,87,0,29,16,53,0,15,0,36,0,47,38,29,0,131,0,69,0,76,0,68,0,192,0,66,0,231,0,50,0,37,0,56,0,9,0,0,0,19,0,26,7,0,27,32,0,41,0,0,59
48,003,950400,0,23,20,27,0,74,0,12,0,28,0,0,0,45,15,4,0,88,0,0,0,139,12,0,0,226,0,14,0,86,0,10,0,24,0,0,0,26,0,11,3,0,28,25,0,8,6,0,15,0,56,9,50,0,69,0,0,0,29,0,35,0,71,0,97,0,29,9,11,0,103,0,61,0,221,5,30,0,64,0,26,0,19,0,18,0,10,0,23,6,0,46,0,0,18,0,6,25
48,005,000101,0,98,0,84,0,38,0,0,0,0,0,19,0,119,0,42,0,129,4,59,0,348,46,57,0,319,0,77,0,104,47,146,0,0,0,30,0,45,0,100,34,14,126,54,0,24,0,0,114,0,6,0,113,0,14,14,82,0,57,0,40,0,105,0,67,0,95,10,107,0,276,9,88,0,220,80,80,0,154,0,83,0,48,0,44,0,60,0,46,66,0,131,0,0,100,33,0,127
48,005,000102,0,48,27,161,0,51,0,0,0,16,0,17,0,135,0,0,0,137,0,6,0,336,0,17,0,251,30,70,0,42,0,36,0,23,0,35,0,36,0,60,28,0,53,8,0,50,7,0,47,0,0,0,93,0,36,0,18,0,108,0,13,0,74,0,5,0,180,39,60,0,241,17,54,0,215,12,117,0,23,0,15,0,25,0,21,0,22,0,35,17,0,124,7,0,43,0,0,75
48,005,000200,0,102,20,67,0,21,0,0,0,66,30,0,0,122,14,0,0,202,16,33,0,319,44,66,0,348,0,40,0,164,10,43,0,65,0,9,0,28,0,60,25,0,128,0,0,64,0,0,112,0,33,0,165,0,24,0,27,0,38,0,37,0,210,0,64,0,81,54,113,0,201,11,276,0,251,14,186,0,127,0,118,0,37,0,37,0,10,0,67,59,0,100,13,0,66,9,0,158
48,005,000301,0,9,0,66,0,10,28,0,0,39,0,0,0,61,0,0,0,138,19,19,0,222,45,45,0,327,28,60,0,144,0,47,0,30,0,18,0,16,0,17,73,0,128,9,0,91,13,0,79,0,40,0,154,0,0,0,0,0,0,0,0,0,61,0,0,0,37,0,62,0,314,25,125,0,233,0,108,0,155,0,29,0,50,0,11,0,12,0,96,10,0,77,30,0,75,0,0,212
48,005,000302,0,36,0,72,0,36,0,0,0,64,59,31,0,126,14,10,0,103,0,2,0,222,21,10,0,245,21,85,0,70,0,54,0,28,0,15,0,21,0,26,5,0,56,0,0,89,0,0,96,0,0,0,34,0,33,26,0,0,142,27,0,0,93,0,32,0,104,0,51,0,163,12,25,0,251,39,139,0,82,16,14,0,23,0,0,0,75,0,0,6,0,76,10,0,47,6,0,197
48,005,000400,41,0,0,75,0,22,31,72,0,69,54,35,0,105,0,10,0,127,0,0,0,243,0,27,0,237,18,118,0,50,18,60,0,0,0,14,0,0,0,9,22,0,79,0,0,120,41,25,110,0,153,17,95,0,98,0,15,0,64,0,34,0,174,0,0,0,103,190,11,0,199,33,98,0,185,0,122,0,124,0,65,0,23,0,1,0,0,0,87,0,0,180,20,0,80,0,0,250
48,005,000500,0,14,27,103,0,119,17,0,0,22,0,1,0,56,17,56,0,82,0,10,0,78,51,31,0,232,0,70,0,103,0,48,0,15,0,15,0,6,0,11,36,0,61,0,0,5,0,0,137,0,37,19,29,0,80,0,0,0,119,8,49,0,55,13,9,0,46,0,0,0,125,36,83,0,192,2,140,0,80,0,70,0,9,0,38,0,0,0,73,7,0,79,29,0,55,4,0,216
48,005,000600,0,41,0,153,0,66,0,45,0,117,70,10,0,152,47,70,0,129,59,32,0,219,41,110,0,225,8,136,0,125,0,26,0,73,0,33,0,23,23,101,8,0,70,0,0,20,43,0,116,0,155,0,26,0,29,0,23,0,78,4,63,0,138,12,94,0,121,7,76,0,224,17,93,0,332,14,154,0,104,0,6,0,51,0,56,0,32,0,80,13,0,69,10,0,101,23,0,249
48,005,000700,0,0,45,89,0,7,15,0,0,148,9,33,0,268,0,0,0,163,0,4,0,176,26,41,0,92,0,65,0,15,0,26,0,11,0,0,0,39,9,9,0,0,8,33,0,14,0,0,23,0,41,0,84,0,35,0,49,0,30,21,61,0,74,37,69,0,47,14,69,0,128,10,55,0,124,14,58,0,36,0,33,0,23,0,0,0,21,0,40,0,0,65,16,0,21,0,0,55
48,005,000800,0,0,20,59,0,80,13,9,0,89,66,0,0,136,51,0,0,53,50,10,0,221,71,24,0,397,0,30,0,118,0,42,0,73,0,44,0,89,0,14,0,0,129,16,0,82,2,0,264,0,65,13,48,0,160,0,23,0,18,65,0,0,118,46,78,0,69,7,25,0,416,0,124,0,382,13,37,0,109,0,47,0,46,0,5,0,18,0,45,36,0,140,47,0,101,19,0,298
48,005,000901,0,26,0,81,0,89,34,0,0,135,0,16,0,95,31,5,0,86,0,0,0,299,0,8,0,497,0,16,0,167,14,15,0,45,0,0,0,73,0,50,90,0,24,36,0,27,28,0,340,0,59,0,87,0,49,0,0,0,20,0,79,0,109,32,42,0,153,0,0,0,499,15,107,0,300,0,34,0,136,0,61,0,84,0,50,0,7,0,85,36,0,95,32,0,87,15,0,490
48,005,000902,0,26,0,31,0,14,11,22,0,100,0,12,0,116,0,0,0,57,12,0,0,90,0,11,0,87,24,10,0,116,0,12,0,0,0,0,0,68,0,47,65,0,22,20,0,64,0,0,72,0,19,0,75,0,59,0,47,0,175,0,28,0,72,0,0,0,58,7,91,0,68,0,11,0,138,0,15,0,74,10,27,0,11,0,12,0,106,0,72,15,0,86,0,0,73,0,0,78
48,005,001001,0,79,61,144,0,19,0,0,0,20,0,62,0,85,1,86,0,127,0,176,0,367,30,219,0,127,6,254,0,63,13,352,0,73,7,21,0,30,0,57,36,20,69,2,0,38,16,0,130,0,31,0,70,0,49,0,7,0,37,16,0,0,130,75,8,0,180,0,48,0,204,8,124,0,207,0,71,0,65,0,79,0,17,0,50,0,40,0,52,11,0,8,0,0,70,10,0,157
48,005,001002,0,61,0,103,0,88,53,0,0,19,0,6,0,247,0,2,0,124,0,2,0,364,0,38,0,165,0,93,0,182,0,19,0,29,0,11,0,29,0,37,47,0,76,13,0,32,0,0,58,0,10,16,58,0,43,0,0,0,99,12,19,0,123,0,51,0,90,0,25,0,304,10,57,0,138,53,20,0,87,0,43,0,77,0,36,0,25,0,15,13,0,89,3,0,51,0,0,119
48,005,001100,0,14,44,51,0,22,0,0,0,76,59,26,0,82,6,10,0,240,10,0,0,328,0,51,0,362,9,138,0,59,0,1,0,33,0,82,0,42,0,17,35,0,156,0,0,31,13,0,150,0,0,0,45,0,20,0,0,0,79,0,7,0,184,33,70,0,180,28,32,0,222,4,167,0,290,18,223,0,49,0,127,0,26,0,79,0,2,0,137,40,6,168,28,0,113,14,0,113
48,005,001200,0,0,18,25,0,16,0,3,0,38,0,0,0,28,0,0,0,76,0,20,0,88,7,43,0,80,0,33,0,41,0,23,0,15,0,86,0,21,0,72,0,9,92,15,0,119,0,0,150,0,0,0,11,0,20,48,0,0,53,0,23,0,6,12,25,0,7,0,16,0,73,0,27,0,157,48,22,0,42,0,80,0,35,0,68,0,13,0,54,68,0,96,6,0,92,0,0,171
48,005,001300,0,14,28,28,0,38,0,36,0,32,13,4,0,191,3,28,0,86,47,39,0,201,23,62,0,186,27,103,0,89,22,53,0,28,0,12,0,52,0,47,29,0,86,29,0,88,3,0,115,0,26,26,108,0,0,0,10,0,7,40,63,0,72,0,72,0,126,25,28,0,132,15,86,0,162,12,149,0,22,0,113,0,30,4,19,0,0,0,100,11,0,165,33,22,84,12,0,197
48,007,950100,0,24,0,112,0,22,0,0,0,79,0,0,0,79,0,21,0,149,0,0,0,242,0,39,0,317,0,34,0,100,32,116,0,18,0,59,0,8,0,81,18,0,253,49,0,268,66,0,180,0,24,0,34,0,56,0,0,0,27,12,51,0,77,0,123,0,42,0,3,0,187,0,25,0,283,0,209,0,128,0,81,0,7,0,4,0,94,0,86,18,0,334,30,0,170,38,0,273
48,007,950200,0,0,0,5,0,8,0,0,0,8,0,0,0,25,0,0,0,10,0,16,0,29,0,0,0,16,0,0,0,17,0,4,0,8,0,4,0,25,0,9,12,0,35,17,0,105,18,0,129,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,9,0,6,0,16,0,12,0,13,0,43,0,8,0,53,0,20,0,18,0,7,0,21,0,45,17,0,81,6,5,42,11,0,101
48,007,950300,0,115,68,88,0,46,0,13,0,30,0,32,0,84,0,41,0,104,0,25,0,384,26,68,0,535,0,27,0,171,16,52,0,14,0,41,0,41,24,40,38,0,115,76,0,210,0,0,381,0,195,0,53,0,0,0,62,0,73,17,0,0,25,0,41,0,73,59,17,0,361,0,168,0,370,0,89,0,221,0,83,0,21,0,54,0,43,0,107,90,43,193,0,0,253,48,0,265
48,007,950400,0,0,0,36,0,6,16,0,0,28,0,27,0,108,0,19,0,97,0,0,0,87,0,20,0,136,61,114,0,100,9,40,0,0,0,12,0,22,0,64,12,0,83,0,0,93,13,0,126,0,17,36,45,0,25,0,37,0,43,0,25,0,108,4,2,0,14,19,10,0,74,0,68,0,160,9,95,0,91,0,56,0,20,0,39,0,0,0,31,0,0,45,20,0,80,0,0,220
48,007,950500,0,109,26,127,0,102,0,2,0,41,20,0,0,214,0,0,0,64,0,1,0,100,0,72,0,389,23,89,0,256,0,53,0,84,15,34,0,79,0,184,25,0,206,12,0,143,33,0,210,0,68,30,35,0,13,0,0,0,39,0,18,0,69,56,0,0,46,0,74,0,122,0,254,0,301,0,191,0,98,0,158,0,53,15,22,0,38,0,167,5,2,164,10,0,178,13,0,375
48,007,990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,009,020100,0,43,5,71,0,20,0,25,0,4,0,15,0,17,0,3,0,51,13,4,0,171,0,3,0,197,6,4,0,165,0,6,0,20,0,6,0,56,0,27,30,0,88,8,0,56,7,2,60,0,13,0,14,0,13,0,0,0,27,0,0,0,54,2,0,0,34,0,4,0,179,3,31,0,136,2,109,0,101,10,27,0,23,0,30,0,22,0,67,9,0,84,3,0,29,14,0,35
48,009,020200,0,12,8,73,0,9,0,21,0,30,0,0,0,93,0,12,0,60,0,6,0,90,5,8,0,215,0,39,0,96,5,0,0,13,0,12,0,30,0,34,9,0,47,10,0,22,19,0,104,0,34,9,79,0,2,0,7,0,57,0,16,0,61,0,50,0,30,0,21,0,118,7,25,0,206,5,52,0,46,5,39,0,26,0,5,0,3,0,32,18,0,70,10,0,38,2,0,129
48,009,020300,0,18,0,90,0,66,0,11,0,51,0,1,0,59,6,13,0,85,4,14,0,189,5,21,0,236,17,14,0,46,9,30,0,12,0,0,0,14,0,39,36,0,39,9,0,51,19,0,85,0,33,9,34,0,18,0,17,0,43,0,8,0,11,0,2,0,85,3,34,0,135,1,61,0,140,3,80,0,94,0,48,0,24,0,6,0,20,0,20,11,0,39,23,0,126,8,0,162
