state,county,tract,B11016_003E,B11016_004E,B11016_005E,B11016_006E,B11016_007E,B11016_008E,B11016_010E,B11016_011E,B11016_012E,B11016_013E,B11016_014E,B11016_015E,B11016_016E
48,001,950100,648,294,153,107,39,47,522,43,0,0,0,0,0
48,001,950401,7,9,44,4,0,0,35,0,0,0,0,0,0
48,001,950402,24,16,20,0,0,0,9,0,0,0,0,0,0
48,001,950500,331,225,167,154,34,80,320,51,0,0,0,0,0
48,001,950600,783,293,201,212,126,36,487,46,0,0,0,0,0
48,001,950700,158,81,143,58,25,15,270,10,26,0,0,0,0
48,001,950800,517,271,195,237,0,0,630,36,0,0,0,0,0
48,001,950901,717,268,165,105,41,5,391,90,7,0,0,0,0
48,001,950902,679,245,188,111,49,44,529,50,0,0,0,0,0
48,001,951000,1006,514,362,135,41,18,806,9,9,2,0,0,0
48,001,951100,582,272,295,60,26,11,479,60,0,0,0,0,0
48,003,950100,241,91,106,68,19,4,112,0,0,0,0,0,0
48,003,950200,759,281,507,232,50,0,553,92,0,0,0,0,0
48,003,950300,391,179,185,90,113,65,360,8,0,0,0,30,0
48,003,950400,264,171,96,67,78,20,148,19,13,0,0,0,0
48,005,000101,576,400,372,113,26,11,502,65,0,0,0,0,0
48,005,000102,388,269,257,193,106,12,321,38,0,0,0,0,0
48,005,000200,635,552,485,182,41,0,461,38,0,0,0,0,0
48,005,000301,619,326,253,113,0,18,371,22,0,10,0,0,0
48,005,000302,506,236,382,116,39,0,273,34,0,0,0,0,0
48,005,000400,483,241,204,229,68,0,531,191,0,0,0,0,0
48,005,000500,432,380,102,16,41,1,590,72,0,5,0,20,0
48,005,000600,507,292,319,196,110,66,311,47,0,0,0,0,0
48,005,000700,243,229,207,213,31,52,161,16,0,0,0,0,0
48,005,000800,851,383,259,137,123,0,624,21,60,0,0,0,0
48,005,000901,954,386,448,125,0,0,546,147,0,0,0,0,0
48,005,000902,558,165,55,9,4,0,708,29,0,0,0,0,0
48,005,001001,362,199,231,232,93,36,282,23,0,0,0,0,0
48,005,001002,658,360,334,28,64,12,98,32,0,0,0,0,0
48,005,001100,684,362,341,107,11,68,544,59,0,0,0,0,0
48,005,001200,596,124,96,73,14,8,261,2,0,0,0,0,0
48,005,001300,539,172,295,291,25,3,510,52,0,0,0,0,0
48,007,950100,985,334,213,106,3,0,669,93,62,16,0,0,0
48,007,950200,277,23,39,0,6,0,204,54,1,0,0,0,0
48,007,950300,961,559,219,130,74,0,489,104,14,0,0,0,0
48,007,950400,414,280,78,50,32,8,406,67,8,0,0,0,12
48,007,950500,998,334,112,258,32,34,707,68,0,0,17,0,0
48,007,990000,0,0,0,0,0,0,0,0,0,0,0,0,0
48,009,020100,443,107,251,29,7,6,135,15,0,0,0,0,0
48,009,020200,408,206,137,62,6,0,188,41,0,8,0,0,0
48,009,020300,436,120,213,73,27,17,355,31,6,9,0,0,0
48,011,950100,287,62,124,27,8,3,121,33,0,0,0,0,0
48,013,960100,639,332,388,338,49,41,560,60,11,0,0,0,0
48,013,960201,450,486,366,330,79,58,380,64,0,0,0,0,0
48,013,960202,517,516,462,272,183,257,364,138,0,0,0,0,0
48,013,960300,399,207,144,106,35,74,208,0,0,0,0,0,0
48,013,960401,279,115,131,45,18,24,149,0,0,0,0,0,0
48,013,960402,725,424,500,158,14,127,558,84,0,0,0,0,0
48,013,960500,254,150,137,81,20,72,222,11,28,0,0,0,0
48,013,960600,708,524,185,259,8,2,553,83,0,0,0,0,0
48,015,760100,372,182,67,82,1,6,188,21,0,0,0,0,0
48,015,760200,653,139,293,173,121,14,618,71,0,0,0,0,0
48,015,760300,986,262,234,336,94,43,578,58,0,0,0,0,0
48,015,760400,672,91,220,65,13,60,263,9,0,0,0,0,0
48,015,760501,714,230,145,54,129,6,470,0,0,0,0,0,0
48,015,760502,508,350,387,40,0,0,691,42,35,0,0,0,0
48,017,950100,645,228,295,446,109,64,569,44,0,0,0,0,0
48,019,000101,735,250,128,101,0,16,627,3,0,41,0,0,0
48,019,000102,784,262,201,124,35,0,403,91,7,0,0,0,0
48,019,000200,611,116,51,18,2,0,206,75,0,0,0,0,0
48,019,000300,809,533,352,98,50,31,649,103,0,0,0,0,0
48,019,000400,354,139,58,75,0,9,404,18,0,0,0,0,0
48,021,950100,1166,651,491,95,145,48,605,62,10,12,0,0,0
