state,county,tract,B16005B_003E,B16005B_005E,B16005B_006E,B16005B_008E,B16005B_010E,B16005B_011E,B16005C_003E,B16005C_005E,B16005C_006E,B16005C_008E,B16005C_010E,B16005C_011E,B16005D_003E,B16005D_005E,B16005D_006E,B16005D_008E,B16005D_010E,B16005D_011E,B16005E_003E,B16005E_005E,B16005E_006E,B16005E_008E,B16005E_010E,B16005E_011E,B16005F_003E,B16005F_005E,B16005F_006E,B16005F_008E,B16005F_010E,B16005F_011E,B16005G_003E,B16005G_005E,B16005G_006E,B16005G_008E,B16005G_010E,B16005G_011E,B16005H_003E,B16005H_005E,B16005H_006E,B16005H_008E,B16005H_010E,B16005H_011E,B16005I_003E,B16005I_005E,B16005I_006E,B16005I_008E,B16005I_010E,B16005I_011E
48,001,950100,620,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,85,0,0,30,80,0,0,0,0,0,0,3685,12,3,7,23,6,14,210,3,44,56,123
48,001,950401,2250,0,0,0,8,2,0,0,0,0,0,0,25,0,0,5,8,0,0,0,0,0,0,0,12,15,0,0,0,0,12,0,0,0,7,0,1845,105,0,2,0,0,401,742,23,7,184,224
48,001,950402,2381,57,0,0,36,0,0,17,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,8,0,0,7,0,9,0,0,0,11,0,1633,109,0,11,0,0,244,823,33,8,149,80
48,001,950500,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,36,0,0,0,0,57,60,9,9,0,0,0,1893,118,0,10,57,27,323,369,40,52,112,400
48,001,950600,1933,0,0,8,35,0,12,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,31,56,0,0,67,95,0,0,0,0,0,2762,9,161,0,0,36,61,238,154,34,114,292
48,001,950700,952,22,0,0,18,0,4,6,0,0,0,0,0,0,0,10,1,3,0,0,0,0,0,0,0,7,13,0,6,18,76,0,7,0,0,2,541,0,0,0,3,0,145,145,112,71,58,216
48,001,950800,798,0,15,23,121,0,24,0,0,0,0,0,0,0,0,0,18,70,0,0,0,0,0,0,0,147,0,0,0,0,165,0,0,0,0,0,2915,80,0,0,0,0,77,314,0,0,0,0
48,001,950901,684,0,0,0,0,0,41,7,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,20,33,27,0,14,0,47,13,0,0,0,7,3697,38,0,17,0,0,101,267,84,92,139,161
48,001,950902,348,0,0,0,0,0,3,0,0,0,0,0,19,0,0,0,0,18,0,0,0,0,0,0,0,34,0,0,0,0,46,0,0,0,0,0,4040,15,10,0,0,8,93,91,43,0,21,75
48,001,951000,273,0,0,0,0,0,93,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,16,0,0,0,6,0,77,0,0,0,0,1,6014,24,0,7,0,0,255,73,165,8,56,0
48,001,951100,399,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,3,18,0,0,0,0,0,0,5,0,0,0,6,0,10,0,0,0,0,0,3588,26,0,0,0,0,255,48,0,47,16,21
48,003,950100,72,0,0,0,0,0,0,6,0,0,0,0,0,9,6,0,10,4,0,0,0,0,0,0,12,13,0,0,0,0,13,0,0,0,0,0,1313,32,9,6,0,0,109,143,57,9,23,46
48,003,950200,185,43,0,0,0,0,15,0,0,0,0,0,0,0,20,0,0,35,0,0,0,0,0,0,0,15,0,0,65,115,37,23,0,0,0,0,3035,49,8,0,0,0,1009,1474,184,8,95,332
