state,county,tract,DP05_0002PE,DP05_0003PE
48,001,950100,499,501
48,001,950401,979,21
48,001,950402,980,20
48,001,950500,456,544
48,001,950600,536,464
48,001,950700,522,478
48,001,950800,507,493
48,001,950901,611,389
48,001,950902,531,469
48,001,951000,514,486
48,001,951100,487,513
48,003,950100,479,521
48,003,950200,519,481
48,003,950300,500,500
48,003,950400,463,537
48,005,000101,504,496
48,005,000102,490,510
48,005,000200,479,521
48,005,000301,490,510
48,005,000302,452,548
48,005,000400,434,566
48,005,000500,468,532
48,005,000600,523,477
48,005,000700,509,491
48,005,000800,483,517
48,005,000901,455,545
48,005,000902,450,550
48,005,001001,603,397
48,005,001002,484,516
48,005,001100,478,522
48,005,001200,490,510
48,005,001300,490,510
48,007,950100,511,489
48,007,950200,475,525
48,007,950300,491,509
48,007,950400,503,497
48,007,950500,491,509
48,007,990000,,
48,009,020100,519,481
48,009,020200,482,518
48,009,020300,503,497
48,011,950100,498,502
48,013,960100,534,466
48,013,960201,476,524
48,013,960202,499,501
48,013,960300,475,525
48,013,960401,484,516
48,013,960402,482,518
48,013,960500,476,524
48,013,960600,522,478
48,015,760100,550,450
48,015,760200,508,492
48,015,760300,504,496
48,015,760400,445,555
48,015,760501,500,500
48,015,760502,506,494
48,017,950100,511,489
48,019,000101,459,541
48,019,000102,478,522
48,019,000200,446,554
48,019,000300,514,486
48,019,000400,547,453
48,021,950100,486,514
48,021,950200,469,531
48,021,950300,493,507
48,021,950400,513,487
48,021,950501,596,404
48,021,950502,525,475
48,021,950600,504,496
48,021,950700,433,567
48,021,950801,574,426
48,021,950802,507,493
48,023,950300,490,510
48,025,950100,522,478
48,025,950201,937,63
48,025,950202,525,475
48,025,950300,445,555
48,025,950400,383,617
48,025,950500,530,470
48,025,950600,470,530
48,027,020100,502,498
48,027,020201,455,545
48,027,020202,519,481
48,027,020300,489,511
48,027,020401,499,501
48,027,020402,458,542
48,027,020500,464,536
48,027,020600,492,508
48,027,020701,505,495
48,027,020702,588,412
48,027,020800,503,497
48,027,020900,531,469
48,027,021000,505,495
48,027,021100,445,555
48,027,021201,533,467
48,027,021202,475,525
48,027,021203,512,488
48,027,021301,482,518
48,027,021302,448,552
48,027,021303,515,485
48,027,021400,517,483
48,027,021500,529,471
48,027,021601,488,512
48,027,021602,432,568
48,027,021700,444,556
48,027,021800,430,570
48,027,021901,456,544
48,027,021903,503,497
48,027,021904,520,480
48,027,022000,532,468
48,027,022101,508,492
48,027,022103,432,568
48,027,022104,475,525
48,027,022105,436,564
48,027,022200,437,563
48,027,022300,546,454
48,027,022401,411,589
48,027,022402,513,487
48,027,022403,480,520
48,027,022404,452,548
48,027,022405,491,509
48,027,022501,528,472
48,027,022502,527,473
48,027,022600,541,459
48,027,022801,508,492
48,027,022900,481,519
48,027,023000,504,496
48,027,023103,518,482
48,027,023104,495,505
48,027,023105,501,499
48,027,023106,512,488
48,027,023107,467,533
48,027,023108,484,516
48,027,023201,490,510
48,027,023202,622,378
48,027,023203,520,480
48,027,023204,723,277
48,027,023300,477,523
48,027,023402,494,506
48,027,023403,557,443
48,027,023404,502,498
48,027,023500,524,476
48,027,980001,764,236
48,027,980002,,
48,027,980003,,
48,029,110100,646,354
48,029,110300,508,492
48,029,110500,343,657
48,029,110600,731,269
48,029,110700,482,518
48,029,110800,550,450
48,029,110900,643,357
48,029,111000,545,455
48,029,120100,526,474
48,029,120300,484,516
48,029,120400,465,535
48,029,120501,500,500
48,029,120502,528,472
48,029,120600,526,474
48,029,120701,427,573
48,029,120702,508,492
48,029,120800,492,508
48,029,120901,439,561
48,029,120902,493,507
48,029,121000,538,462
48,029,121108,445,555
48,029,121110,460,540
48,029,121111,478,522
48,029,121112,489,511
48,029,121115,487,513
48,029,121116,424,576
48,029,121117,533,467
48,029,121118,560,440
48,029,121119,469,531
48,029,121120,518,482
48,029,121121,482,518
48,029,121122,476,524
48,029,121203,496,504
48,029,121204,478,522
48,029,121205,485,515
48,029,121206,498,502
48,029,121300,531,469
48,029,121402,480,520
48,029,121403,452,548
48,029,121404,441,559
48,029,121501,512,488
48,029,121504,500,500
48,029,121505,454,546
48,029,121506,478,522
48,029,121507,481,519
48,029,121508,501,499
48,029,121601,489,511
48,029,121604,503,497
48,029,121605,510,490
48,029,121606,471,529
48,029,121701,495,505
48,029,121702,498,502
48,029,121802,501,499
48,029,121803,504,496
48,029,121804,450,550
48,029,121808,423,577
48,029,121809,497,503
48,029,121810,493,507
48,029,121811,513,487
48,029,121812,463,537
48,029,121813,512,488
48,029,121903,522,478
48,029,121904,527,473
48,029,121905,526,474
48,029,121906,501,499
48,029,121907,532,468
48,029,121908,410,590
48,029,121909,492,508
48,029,121910,423,577
48,029,130200,579,421
48,029,130300,488,512
48,029,130401,510,490
48,029,130402,460,540
48,029,130500,432,568
48,029,130600,429,571
48,029,130700,520,480
48,029,130800,433,567
48,029,130900,449,551
48,029,131000,473,527
48,029,131100,448,552
48,029,131200,460,540
48,029,131300,464,536
48,029,131401,488,512
48,029,131402,450,550
48,029,131503,438,562
48,029,131504,568,432
48,029,131505,534,466
48,029,131506,489,511
48,029,131507,445,555
48,029,131601,481,519
48,029,131606,489,511
48,029,131608,434,566
48,029,131609,481,519
48,029,131610,537,463
48,029,131611,506,494
48,029,131612,448,552
48,029,131613,439,561
48,029,131614,468,532
48,029,131615,440,560
48,029,131700,509,491
