state,county,tract,B14003_005E,B14003_006E,B14003_007E,B14003_008E,B14003_009E,B14003_010E,B14003_011E,B14003_014E,B14003_015E,B14003_016E,B14003_017E,B14003_018E,B14003_019E,B14003_020E,B14003_023E,B14003_024E,B14003_025E,B14003_026E,B14003_027E,B14003_028E,B14003_029E,B14003_033E,B14003_034E,B14003_035E,B14003_036E,B14003_037E,B14003_038E,B14003_039E,B14003_042E,B14003_043E,B14003_044E,B14003_045E,B14003_046E,B14003_047E,B14003_048E,B14003_051E,B14003_052E,B14003_053E,B14003_054E,B14003_055E,B14003_056E,B14003_057E
48,001,950100,74,156,109,32,14,6,16,4,42,8,0,0,0,6,6,0,7,55,31,348,1513,105,117,92,8,30,25,34,20,6,0,0,0,0,3,13,0,0,0,152,216,1621
48,001,950401,0,14,20,146,311,440,429,0,0,0,0,0,0,0,0,0,12,36,413,1375,2521,0,25,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,48
48,001,950402,0,17,0,6,109,333,499,0,0,0,0,0,12,6,0,0,0,16,209,1178,3089,11,0,0,24,0,0,0,0,0,0,0,0,0,5,0,0,0,11,11,0,50
48,001,950500,80,174,37,39,73,12,9,0,23,0,0,17,0,7,21,8,0,0,197,175,1049,214,239,160,14,8,18,0,22,0,0,0,21,0,0,9,12,0,26,159,368,1022
48,001,950600,226,300,245,50,0,0,40,0,0,0,0,0,0,0,14,14,0,0,142,548,1518,322,204,19,74,0,26,19,0,5,0,0,73,0,0,0,0,0,37,124,429,1527
48,001,950700,45,114,39,31,48,26,18,6,8,0,0,0,0,0,0,0,0,0,142,198,563,38,87,86,14,26,11,0,6,4,0,0,0,0,3,0,0,0,51,125,120,560
48,001,950800,68,110,33,28,0,0,23,32,0,0,0,22,31,35,68,0,0,0,183,287,1365,265,124,0,0,0,41,48,8,0,0,0,0,0,0,0,0,0,0,82,308,1382
48,001,950901,142,225,117,16,0,46,67,0,6,0,0,0,0,14,26,0,0,12,134,182,2374,24,58,165,38,0,0,23,8,0,0,0,0,6,6,21,0,0,0,203,192,1273
48,001,950902,210,214,121,100,0,0,13,54,0,0,0,0,0,0,0,0,0,19,99,98,1638,132,135,37,16,6,0,30,35,0,0,0,0,0,0,0,37,0,3,70,244,1519
48,001,951000,188,261,204,27,29,17,7,28,0,6,0,23,0,0,3,6,0,87,120,464,2136,217,244,137,50,28,21,80,10,1,0,0,0,0,2,5,0,0,48,96,373,2086
48,001,951100,100,112,102,25,17,0,7,24,20,11,0,0,0,0,35,0,0,11,251,155,1355,60,149,77,9,11,29,26,30,35,25,0,0,0,0,5,0,0,31,154,196,1387
48,003,950100,127,63,47,0,22,0,5,4,0,0,50,0,0,0,0,0,0,10,30,40,493,53,119,24,42,17,0,4,0,3,37,11,19,0,16,0,0,0,0,43,61,527
48,003,950200,220,156,267,0,0,0,12,0,0,0,21,0,0,0,0,0,0,127,264,608,1708,333,96,84,0,0,28,13,0,0,0,0,0,0,0,0,0,19,39,162,489,1758
48,003,950300,278,245,98,38,29,0,0,0,0,0,0,0,0,0,0,0,0,49,41,237,902,135,281,49,50,22,17,7,0,0,0,0,0,0,0,0,0,0,31,143,327,845
