state,county,tract,B08134_022E,B08134_023E,B08134_024E,B08134_025E,B08134_026E,B08134_027E,B08134_028E,B08134_029E,B08134_030E,B08134_032E,B08134_033E,B08134_034E,B08134_035E,B08134_036E,B08134_037E,B08134_038E,B08134_039E,B08134_040E,B08134_062E,B08134_063E,B08134_064E,B08134_065E,B08134_066E,B08134_067E,B08134_068E,B08134_069E,B08134_070E,B08134_102E,B08134_103E,B08134_104E,B08134_105E,B08134_106E,B08134_107E,B08134_108E,B08134_109E,B08134_110E,B08134_112E,B08134_113E,B08134_114E,B08134_115E,B08134_116E,B08134_117E,B08134_118E,B08134_119E,B08134_120E
48,001,950100,292,75,200,211,170,317,196,206,207,36,9,26,41,6,60,36,15,21,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
48,001,950401,104,9,4,3,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,001,950402,57,5,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,001,950500,517,399,183,127,89,34,45,5,65,32,14,5,0,26,0,0,0,30,0,0,0,16,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
48,001,950600,641,504,426,280,0,179,54,85,112,48,31,203,0,30,0,0,46,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,8
48,001,950700,210,151,113,63,0,61,12,0,0,49,19,11,54,0,0,0,41,0,0,3,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
48,001,950800,781,540,215,202,42,366,28,70,36,0,103,13,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,18,0,0,29,0,0,0,0,0
48,001,950901,334,473,262,424,45,129,21,110,117,50,50,5,94,0,9,0,7,20,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
48,001,950902,350,316,278,281,119,174,134,25,59,63,0,136,145,19,19,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
48,001,951000,320,281,285,637,377,385,159,238,157,32,18,89,0,46,13,10,0,37,0,0,0,0,9,0,0,0,0,51,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
48,001,951100,359,59,144,441,172,181,44,54,142,7,0,0,10,63,24,3,0,0,0,0,0,0,0,19,0,11,0,6,0,0,0,0,0,0,0,0,0,15,11,0,0,0,0,0,0
48,003,950100,267,73,29,28,0,45,54,104,109,3,0,54,18,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
48,003,950200,1074,454,317,0,39,274,239,168,188,197,94,45,18,23,47,0,68,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,15,0,0,0,0
48,003,950300,565,243,155,52,6,80,42,87,91,147,14,102,13,0,0,51,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,11,0
48,003,950400,357,226,210,40,0,56,12,182,83,42,64,43,11,3,30,0,21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,8,0,0,0,0,0,0,0
48,005,000101,417,311,222,563,133,163,0,51,44,120,20,0,99,0,57,0,10,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
48,005,000102,180,441,429,220,64,122,25,68,56,114,60,44,0,0,88,0,0,55,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
48,005,000200,384,579,439,107,110,237,0,11,186,50,36,53,60,8,9,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,21,0,0,0,0,55
48,005,000301,490,554,302,124,30,85,0,13,48,54,31,126,18,0,14,0,0,0,0,0,10,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
48,005,000302,93,475,342,202,40,93,111,58,127,27,83,27,7,0,60,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,005,000400,458,503,453,30,35,104,0,0,41,26,46,30,14,21,71,0,0,0,0,0,0,27,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
48,005,000500,253,445,399,84,0,26,11,35,24,12,25,46,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,20,0,0,0,27,0,0,0,0,5,33,7,0,0,0,0,0,0
48,005,000600,573,603,429,80,35,125,0,47,48,153,68,77,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,0,0,40,0,69,0,0,0,0,0,0
48,005,000700,462,387,123,0,0,25,30,41,20,120,60,20,8,0,39,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,67,18,0,0,0,0,0,0,0
48,005,000800,765,584,218,265,81,31,49,52,50,65,137,128,54,13,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
48,005,000901,833,765,913,22,29,147,12,0,0,32,50,100,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,35,0,0,0,0,0,0,0
48,005,000902,498,454,157,74,9,40,27,0,60,19,32,51,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,35,0,0,12,0,0,0,0,0,16,0,0,0,0,0,0,0,0
48,005,001001,351,157,417,359,65,156,79,75,10,30,118,48,73,0,0,25,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
48,005,001002,280,310,484,200,130,249,34,20,203,27,30,13,37,20,44,13,0,12,0,0,4,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,7,0,0,13,0,0,0,19,0
