state,county,tract,B16008_006E,B16008_007E,B16008_009E,B16008_010E,B16008_014E,B16008_015E,B16008_017E,B16008_018E,B16008_022E,B16008_024E,B16008_025E,B16008_027E,B16008_028E,B16008_030E,B16008_032E,B16008_033E,B16008_035E,B16008_036E,B16008_039E,B16008_041E,B16008_042E,B16008_044E,B16008_045E,B16008_047E,B16008_049E,B16008_050E,B16008_052E,B16008_053E
48,001,950100,131,3,0,0,91,3,0,0,0,0,0,0,0,0,0,0,23,16,0,0,0,0,0,51,56,123,0,6
48,001,950401,12,0,0,0,804,23,31,0,0,0,0,0,0,5,16,30,8,0,0,0,0,0,0,9,168,194,5,2
48,001,950402,0,0,0,0,942,33,47,0,0,0,0,0,0,0,27,7,17,0,0,0,0,4,0,19,122,73,30,7
48,001,950500,241,40,0,0,237,0,9,0,0,29,0,0,0,13,61,140,4,0,0,60,9,0,0,52,12,278,7,0
48,001,950600,177,221,0,0,70,94,0,0,0,0,0,0,0,6,0,67,35,0,8,39,62,0,0,34,75,199,0,0
48,001,950700,77,20,0,0,93,93,3,0,10,0,0,0,0,0,17,5,4,3,30,0,0,8,0,41,41,211,10,1
48,001,950800,51,0,27,0,305,0,11,15,0,0,0,0,0,23,0,0,18,58,0,0,0,0,12,0,0,0,121,0
48,001,950901,103,21,0,0,192,63,10,0,0,0,0,0,0,7,14,43,9,0,0,0,0,0,0,102,125,118,9,0
48,001,950902,8,43,0,0,98,10,0,0,0,0,0,0,0,0,0,0,0,18,0,21,0,0,0,0,0,75,0,8
48,001,951000,54,0,6,0,32,165,5,0,0,0,0,0,0,21,50,0,0,0,0,0,0,0,0,0,6,0,8,1
48,001,951100,41,0,12,0,30,2,7,0,0,0,0,0,0,12,10,0,3,18,0,0,0,0,0,35,6,21,0,0
48,003,950100,38,53,6,6,128,4,18,9,0,0,0,0,0,9,16,6,10,4,0,7,0,0,0,6,0,40,0,0
48,003,950200,212,52,22,0,1280,140,9,20,0,0,0,0,0,8,10,61,0,0,0,0,0,0,0,0,85,271,0,35
48,003,950300,272,58,0,0,557,71,0,0,0,0,0,0,0,18,136,135,0,0,0,65,16,0,0,5,87,386,0,0
48,003,950400,263,34,0,0,568,12,0,0,0,0,0,0,0,6,63,111,0,0,0,21,18,0,0,15,28,259,0,0
48,005,000101,0,0,0,0,202,10,0,0,0,0,0,0,0,38,118,0,0,0,0,0,0,0,0,0,92,0,0,0
48,005,000102,119,8,0,0,175,9,0,0,48,0,0,0,0,0,105,52,0,38,0,74,0,0,0,21,17,134,0,0
48,005,000200,285,38,118,0,249,22,12,0,0,0,0,0,0,33,13,123,0,0,0,20,29,0,0,111,80,236,59,80
48,005,000301,50,7,0,0,139,0,0,0,0,0,0,0,0,34,6,0,0,0,0,0,0,0,0,33,0,59,0,0
48,005,000302,144,99,0,0,162,28,2,0,0,0,0,0,0,0,25,34,4,0,0,8,6,0,0,0,36,70,0,0
48,005,000400,79,98,0,0,251,42,16,0,0,0,0,0,0,36,3,64,2,0,0,46,0,0,0,0,42,101,0,0
48,005,000500,88,8,0,0,112,28,26,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,113,216,0,0
48,005,000600,556,147,0,0,631,132,25,0,0,0,0,0,0,14,59,97,0,0,14,29,12,0,0,13,168,851,0,8
48,005,000700,314,29,0,0,278,28,11,0,0,0,0,0,0,22,57,68,0,0,0,35,13,0,0,30,170,628,19,0
48,005,000800,212,65,17,0,72,37,9,19,0,0,0,0,0,15,10,40,42,0,0,0,20,16,0,20,12,152,0,37
48,005,000901,64,0,0,0,36,52,71,0,0,0,0,0,0,28,41,69,24,0,0,0,0,0,0,12,66,67,0,29
