state,county,tract,Citizen,Naturalized Citizen,Not a U.S. Citizen,English,Speaks Spanish,Speaks Other Language
48,001,950100,4594,39,236,4417,407,45
48,001,950401,5398,59,378,4542,1247,46
48,001,950402,5280,51,255,4277,1204,105
48,001,950500,3548,247,418,3086,1107,20
48,001,950600,5431,108,417,4917,1004,35
48,001,950700,1988,39,342,1783,557,29
48,001,950800,4311,99,133,3925,356,262
48,001,950901,4951,73,354,4671,679,28
48,001,950902,4708,18,104,4549,255,26
48,001,951000,6918,71,15,6677,307,20
48,001,951100,4344,43,62,4299,110,40
48,003,950100,1769,45,53,1522,292,53
48,003,950200,5934,79,391,4207,2111,86
48,003,950300,2976,289,559,2041,1783,0
48,003,950400,2103,180,341,1247,1377,0
48,005,000101,5166,156,92,4992,422,0
48,005,000102,4018,243,246,3776,693,38
48,005,000200,5571,169,615,4991,1095,269
48,005,000301,4251,40,92,4122,261,0
48,005,000302,4178,63,120,3743,612,6
48,005,000400,4815,105,189,4365,726,18
48,005,000500,3116,32,329,2854,597,26
48,005,000600,4885,170,1095,3435,2682,33
48,005,000700,2429,147,895,1821,1620,30
48,005,000800,5445,107,257,5049,620,140
48,005,000901,6002,162,174,5819,395,124
48,005,000902,2463,110,136,2252,197,260
48,005,001001,4861,242,495,3565,2000,33
48,005,001002,4120,110,193,3717,703,3
48,005,001100,5580,80,37,5313,260,124
48,005,001200,2587,11,15,2509,63,41
48,005,001300,4583,8,172,4444,316,3
48,007,950100,4973,113,118,4676,376,152
48,007,950200,1089,20,5,1084,29,1
48,007,950300,6841,174,165,5879,1085,216
48,007,950400,3023,42,61,2616,473,37
48,007,950500,5457,128,468,4700,1343,10
48,007,990000,0,0,0,0,0,0
48,009,020100,2690,19,28,2647,76,14
48,009,020200,2525,17,53,2463,120,12
48,009,020300,2981,30,156,2820,298,49
48,011,950100,1745,29,45,1644,159,16
48,013,960100,6244,154,165,4637,1891,35
48,013,960201,6226,162,355,4039,2686,18
48,013,960202,8079,439,352,4696,4078,96
48,013,960300,3239,44,100,1554,1822,7
48,013,960401,1646,137,217,844,1156,0
48,013,960402,6954,206,96,5153,2058,45
48,013,960500,2494,105,168,1215,1552,0
48,013,960600,5136,132,121,3715,1562,112
48,015,760100,2006,20,143,1753,388,28
48,015,760200,4477,245,862,3981,1463,140
48,015,760300,6240,195,340,5082,1555,138
48,015,760400,3445,51,0,3324,36,136
48,015,760501,4110,66,199,3836,530,9
48,015,760502,3891,36,571,3595,903,0
48,017,950100,5128,262,1171,3347,3207,7
48,019,000101,3907,86,145,3677,380,81
48,019,000102,4476,36,122,4335,251,48
48,019,000200,2506,82,12,2118,423,59
48,019,000300,5906,153,0,5353,640,66
48,019,000400,2136,56,52,1959,227,58
48,021,950100,7523,285,1111,6746,2029,144
48,021,950200,6042,148,880,4601,2464,5
48,021,950300,11961,481,573,10813,1388,814
48,021,950400,6933,159,367,6327,986,146
48,021,950501,6577,139,827,4833,2539,171
48,021,950502,4768,131,220,4300,785,34
48,021,950600,4431,46,285,4124,612,26
48,021,950700,3829,23,106,3404,499,55
48,021,950801,5143,275,1177,3089,3428,78
48,021,950802,5212,79,1128,3658,2733,28
48,023,950300,3379,42,52,3270,167,36
48,025,950100,1706,16,8,1291,435,4
48,025,950201,7345,50,658,5037,2901,115
48,025,950202,4756,53,73,3269,1548,65
48,025,950300,4421,140,39,2839,1668,93
48,025,950400,1959,34,61,1291,763,0
48,025,950500,6559,112,139,4019,2753,38
48,025,950600,2327,7,113,1537,904,6
48,027,020100,5620,96,298,5233,600,181
48,027,020201,6396,59,43,5767,433,298
48,027,020202,5177,73,14,5009,238,17
48,027,020300,7928,464,135,7455,857,215
48,027,020401,2733,61,69,2570,148,145
48,027,020402,1947,27,163,1740,387,10
48,027,020500,3592,124,127,3094,690,59
48,027,020600,2546,63,22,2478,92,61
48,027,020701,951,35,18,718,273,13
48,027,020702,1819,111,214,1376,751,17
48,027,020800,3141,153,182,2743,705,28
48,027,020900,1882,63,464,1648,708,53
48,027,021000,3031,108,819,2516,1242,200
48,027,021100,4677,88,393,4076,881,201
48,027,021201,2354,104,196,2003,357,294
48,027,021202,3555,170,213,3198,515,225
48,027,021203,3500,29,97,3045,481,100
48,027,021301,4355,80,97,4019,231,282
48,027,021302,2891,74,122,2861,73,153
48,027,021303,5538,332,212,5143,507,432
48,027,021400,3336,53,186,3143,321,111
48,027,021500,6163,164,277,5068,1492,44
48,027,021601,4165,93,512,3207,1534,29
48,027,021602,2210,30,190,1873,468,89
48,027,021700,7228,150,167,6741,542,262
48,027,021800,5675,282,449,5197,801,408
48,027,021901,3135,110,153,2979,141,278
48,027,021903,8010,685,413,7399,978,731
48,027,021904,7454,417,110,7343,411,227
48,027,022000,6910,186,497,6268,977,348
48,027,022101,3839,211,83,3252,607,274
48,027,022103,4137,235,218,3620,762,208
48,027,022104,3342,134,81,3138,275,144
48,027,022105,1431,168,22,1332,171,118
