state,county,tract,B08201_008E,B08201_009E,B08201_010E,B08201_011E,B08201_012E,B08201_014E,B08201_015E,B08201_016E,B08201_017E,B08201_018E,B08201_020E,B08201_021E,B08201_022E,B08201_023E,B08201_024E,B08201_026E,B08201_027E,B08201_028E,B08201_029E,B08201_030E
48,001,950100,65,357,87,13,0,4,108,411,157,11,32,49,51,140,22,24,78,129,87,28
48,001,950401,0,35,0,0,0,0,0,7,0,0,5,0,4,0,0,0,16,28,4,0
48,001,950402,0,0,9,0,0,0,0,10,14,0,0,0,0,16,0,0,0,14,6,0
48,001,950500,66,240,14,0,0,0,135,192,48,7,0,134,60,24,7,0,215,180,40,0
48,001,950600,89,261,114,23,0,94,287,334,93,21,0,141,115,27,10,11,60,323,124,57
48,001,950700,106,136,25,0,3,15,41,99,13,0,0,81,26,0,0,2,69,147,15,8
48,001,950800,51,516,63,0,0,0,144,310,87,12,0,118,59,94,0,86,19,165,135,27
48,001,950901,37,276,68,10,0,0,100,592,84,31,3,92,141,33,6,16,34,135,100,31
48,001,950902,147,266,109,0,7,7,57,578,53,34,15,58,127,45,0,11,62,159,68,92
48,001,951000,64,573,145,24,0,8,265,504,163,75,7,48,278,133,57,17,113,215,95,118
48,001,951100,56,342,64,17,0,17,92,408,105,20,9,32,135,78,18,8,111,167,95,11
48,003,950100,7,91,14,0,0,0,58,114,55,14,0,24,13,19,35,7,4,80,31,75
48,003,950200,31,467,55,0,0,28,186,542,48,47,13,45,118,25,80,0,62,363,215,149
48,003,950300,28,162,170,0,0,18,63,201,95,22,0,32,107,33,7,22,96,268,30,67
48,003,950400,0,86,32,20,10,4,25,117,123,14,9,41,62,60,12,5,27,94,41,94
48,005,000101,39,347,89,27,0,9,97,436,99,0,0,33,143,181,43,17,45,260,190,10
48,005,000102,66,224,0,0,31,0,89,263,53,21,0,0,172,83,14,0,64,299,160,45
48,005,000200,88,297,47,29,0,11,164,410,88,0,15,99,338,89,11,16,228,302,69,93
