state,county,tract,Married Couple,Male Householder family no wife present,Female Householder family no husband present,Alone,Non-family
48,001,950100,1045,51,192,522,43
48,001,950401,48,16,0,35,0
48,001,950402,55,5,0,9,0
48,001,950500,602,114,275,320,51
48,001,950600,1056,287,308,487,46
48,001,950700,299,42,139,270,36
48,001,950800,897,65,258,630,36
48,001,950901,1150,33,118,391,97
48,001,950902,1125,17,174,529,50
48,001,951000,1482,252,342,806,20
48,001,951100,1024,70,152,479,60
48,003,950100,416,54,59,112,0
48,003,950200,1531,151,147,553,92
48,003,950300,712,51,260,360,38
48,003,950400,561,73,62,148,32
48,005,000101,1099,174,225,502,65
48,005,000102,1000,44,181,321,38
48,005,000200,1158,254,483,461,38
48,005,000301,957,184,188,371,32
48,005,000302,897,195,187,273,34
48,005,000400,662,120,443,531,191
48,005,000500,404,146,422,590,97
48,005,000600,896,169,425,311,47
48,005,000700,501,119,355,161,16
48,005,000800,1309,127,317,624,81
48,005,000901,1368,40,505,546,147
48,005,000902,651,27,113,708,29
48,005,001001,791,107,255,282,23
48,005,001002,1068,161,227,98,32
48,005,001100,1240,90,243,544,59
48,005,001200,722,77,112,261,2
48,005,001300,957,192,176,510,52
48,007,950100,1501,31,109,669,171
48,007,950200,324,0,21,204,55
48,007,950300,1590,126,227,489,118
48,007,950400,565,72,225,406,87
48,007,950500,1406,121,241,707,85
48,007,990000,0,0,0,0,0
48,009,020100,797,39,7,135,15
48,009,020200,726,41,52,188,49
48,009,020300,748,39,99,355,46
48,011,950100,452,7,52,121,33
48,013,960100,1331,99,357,560,71
48,013,960201,1321,142,306,380,64
48,013,960202,1687,203,317,364,138
48,013,960300,454,133,378,208,0
48,013,960401,425,58,129,149,0
48,013,960402,1455,130,363,558,84
48,013,960500,512,62,140,222,39
48,013,960600,1294,208,184,553,83
48,015,760100,525,70,115,188,21
48,015,760200,1020,74,299,618,71
48,015,760300,1559,83,313,578,58
48,015,760400,1031,15,75,263,9
48,015,760501,1150,19,109,470,0
48,015,760502,1099,71,115,691,77
48,017,950100,1447,95,245,569,44
48,019,000101,1019,24,187,627,44
48,019,000102,1298,12,96,403,98
48,019,000200,704,33,61,206,75
48,019,000300,1539,126,208,649,103
48,019,000400,404,95,136,404,18
48,021,950100,2063,180,353,605,84
48,021,950200,1476,28,515,647,59
48,021,950300,2929,266,362,659,335
48,021,950400,1403,73,323,1219,114
48,021,950501,1072,185,313,332,106
48,021,950502,1346,91,82,455,55
48,021,950600,1022,217,129,499,91
48,021,950700,594,67,343,630,20
48,021,950801,1256,97,202,261,129
48,021,950802,1321,158,141,349,58
48,023,950300,826,28,138,790,24
48,025,950100,341,6,84,138,6
48,025,950201,207,28,26,108,8
48,025,950202,1232,34,211,531,12
48,025,950300,885,13,359,635,133
48,025,950400,358,43,134,245,5
48,025,950500,791,281,572,467,142
48,025,950600,493,19,213,120,53
48,027,020100,1479,75,184,430,62
48,027,020201,1680,74,157,333,43
48,027,020202,1235,126,213,301,74
48,027,020300,2029,101,425,469,62
48,027,020401,541,54,160,352,26
48,027,020402,333,76,98,150,0
48,027,020500,721,80,178,310,83
48,027,020600,456,67,112,256,64
48,027,020701,79,11,65,419,23
48,027,020702,257,28,128,172,68
48,027,020800,384,91,461,185,11
48,027,020900,188,27,162,460,52
48,027,021000,561,82,180,599,141
48,027,021100,830,113,235,828,115
48,027,021201,566,11,171,475,43
48,027,021202,670,66,183,445,65
48,027,021203,897,34,177,417,123
48,027,021301,1034,59,142,599,29
48,027,021302,723,29,150,518,42
48,027,021303,1269,72,248,682,129
48,027,021400,839,105,136,309,6
48,027,021500,952,100,330,322,109
48,027,021601,645,139,275,482,119
48,027,021602,166,0,93,127,28
48,027,021700,1745,0,454,811,94
48,027,021800,1026,170,631,566,90
48,027,021901,606,51,239,352,100
48,027,021903,1836,145,423,378,0
48,027,021904,1693,50,451,568,130
48,027,022000,1513,176,287,608,88
48,027,022101,491,57,493,584,78
48,027,022103,1069,106,247,208,66
48,027,022104,607,57,354,480,124
48,027,022105,307,45,166,101,51
48,027,022200,473,7,206,569,88
48,027,022300,589,107,200,601,131
48,027,022401,993,124,445,390,72
48,027,022402,1196,60,182,359,71
48,027,022403,789,111,125,301,35
48,027,022404,1343,74,687,310,11
48,027,022405,378,38,21,253,153
48,027,022501,503,51,107,388,41
48,027,022502,1935,198,353,737,51
48,027,022600,497,55,199,475,111
48,027,022801,298,62,178,473,42
48,027,022900,489,99,307,545,95
48,027,023000,1457,144,395,728,45
48,027,023103,724,80,333,384,97
48,027,023104,592,28,240,325,143
48,027,023105,1996,70,464,246,261
48,027,023106,1737,42,675,498,180
48,027,023107,1038,50,651,434,206
48,027,023108,2200,149,1017,881,143
48,027,023201,612,15,116,67,19
48,027,023202,998,96,45,8,0
48,027,023203,699,0,67,50,0
48,027,023204,512,25,117,5,13
48,027,023300,1808,137,184,349,127
48,027,023402,778,48,199,396,8
48,027,023403,1384,65,108,382,68
48,027,023404,711,27,49,289,35
48,027,023500,251,25,144,305,22
48,027,980001,0,0,0,0,0
48,027,980002,0,0,0,0,0
48,027,980003,0,0,0,0,0
48,029,110100,276,80,70,1074,266
48,029,110300,230,45,348,653,40
48,029,110500,41,24,393,281,9
48,029,110600,277,81,197,596,50
48,029,110700,144,49,124,285,31
48,029,110800,122,21,96,473,57
48,029,110900,79,22,23,238,63
48,029,111000,289,53,87,242,30
48,029,120100,730,48,169,10,0
48,029,120300,1585,129,367,940,95
48,029,120400,1330,120,137,804,89
48,029,120501,884,182,716,1163,220
48,029,120502,667,139,392,556,80
48,029,120600,673,334,406,1363,141
48,029,120701,619,126,346,862,145
48,029,120702,631,156,232,1146,312
48,029,120800,1423,107,192,1019,79
48,029,120901,234,52,193,366,135
48,029,120902,834,200,312,1802,217
48,029,121000,1223,191,448,921,132
48,029,121108,1242,158,240,1382,434
48,029,121110,1077,47,205,319,81
48,029,121111,884,241,403,770,63
48,029,121112,662,124,258,724,143
48,029,121115,1283,60,211,631,54
48,029,121116,779,159,289,861,169
48,029,121117,930,50,212,530,192
48,029,121118,1081,314,146,658,258
48,029,121119,801,153,265,779,298
48,029,121120,1033,159,256,562,125
48,029,121121,702,99,119,149,52
48,029,121122,1275,64,253,308,92
48,029,121203,553,212,261,478,129
48,029,121204,916,259,558,1820,279
48,029,121205,422,108,433,363,85
48,029,121206,1529,225,317,510,129
48,029,121300,1327,186,222,616,46
48,029,121402,891,162,290,201,104
48,029,121403,626,148,538,554,141
48,029,121404,618,43,448,547,108
48,029,121501,1848,111,157,406,120
48,029,121504,1390,120,423,763,93
48,029,121505,788,162,226,341,84
48,029,121506,725,197,207,288,88
48,029,121507,824,74,327,326,87
48,029,121508,700,110,333,346,48
48,029,121601,769,67,367,803,166
48,029,121604,1342,101,502,510,276
48,029,121605,471,3,85,173,18
48,029,121606,807,158,221,697,217
48,029,121701,749,88,233,423,89
48,029,121702,1769,25,217,599,67
48,029,121802,1424,172,549,562,124
48,029,121803,737,90,275,292,170
48,029,121804,776,192,635,696,63
48,029,121808,701,24,204,157,23
48,029,121809,933,167,209,376,79
48,029,121810,900,101,237,223,55
48,029,121811,915,91,216,213,92
48,029,121812,968,147,423,446,63
48,029,121813,259,41,89,189,31
48,029,121903,1310,84,134,306,33
48,029,121904,938,20,38,134,16
48,029,121905,1560,13,59,395,58
48,029,121906,1166,169,329,346,68
48,029,121907,2253,89,257,704,170
48,029,121908,650,0,90,87,16
48,029,121909,1045,138,123,448,131
48,029,121910,1055,21,104,163,80
48,029,130200,148,129,153,76,30
48,029,130300,314,74,307,254,23
48,029,130401,445,109,187,493,10
48,029,130402,438,49,494,357,11
48,029,130500,351,80,447,339,94
48,029,130600,342,117,513,468,44
48,029,130700,211,66,95,168,62
48,029,130800,563,166,608,422,0
48,029,130900,377,117,652,337,70
48,029,131000,628,59,330,693,42
48,029,131100,283,94,206,246,24
48,029,131200,331,48,355,258,117
48,029,131300,871,53,323,824,50
48,029,131401,1089,198,377,467,99
48,029,131402,450,39,163,171,36
48,029,131503,678,0,97,313,100
48,029,131504,592,85,221,265,53
48,029,131505,619,74,169,165,71
48,029,131506,427,100,259,291,21
48,029,131507,795,167,535,282,64
48,029,131601,577,69,69,131,38
48,029,131606,969,202,256,148,76
48,029,131608,730,170,528,456,126
48,029,131609,1230,226,337,432,82
48,029,131610,1018,97,277,118,38
48,029,131611,240,0,90,58,0
48,029,131612,355,9,77,71,15
48,029,131613,824,58,290,283,46
48,029,131614,630,58,207,198,14
48,029,131615,1210,53,664,687,8
48,029,131700,234,11,14,8,1
48,029,131801,617,35,69,133,23
48,029,131802,1067,61,200,413,39
48,029,140100,238,91,92,126,49
48,029,140200,303,80,199,318,109
48,029,140300,431,86,295,214,52
48,029,140400,501,111,252,425,44
48,029,140500,596,58,374,343,78
48,029,140600,257,39,276,208,68
48,029,140700,589,134,299,648,132
48,029,140800,629,131,369,396,98
48,029,140900,304,18,120,252,14
48,029,141000,379,132,252,308,117
48,029,141101,244,114,464,650,86
48,029,141102,351,38,429,327,118
48,029,141200,811,191,525,630,105
48,029,141300,939,135,263,433,63
48,029,141402,673,47,196,227,98
48,029,141403,564,175,281,248,125
48,029,141404,893,65,216,372,53
48,029,141600,874,71,202,216,9
48,029,141700,953,81,186,331,32
48,029,141800,728,118,145,325,65
48,029,141900,1095,124,205,259,109
48,029,150100,617,166,332,615,108
48,029,150300,471,234,304,325,107
48,029,150400,454,127,171,485,68
48,029,150501,548,180,307,318,41
48,029,150502,493,110,276,187,26
48,029,150600,663,107,318,294,18
48,029,150700,658,127,563,505,52
48,029,150800,343,19,410,254,34
48,029,150900,698,171,322,613,198
48,029,151000,391,92,307,220,68
48,029,151100,984,116,398,283,87
48,029,151200,1211,291,772,401,228
48,029,151301,882,62,381,340,19
48,029,151302,542,53,210,90,27
48,029,151400,626,89,341,279,4
48,029,151500,436,23,168,171,52
48,029,151600,1152,147,605,386,130
48,029,151700,1159,148,321,197,83
48,029,151900,890,155,421,145,88
48,029,152000,224,33,187,113,39
48,029,152100,943,76,119,258,68
48,029,152201,1311,325,305,209,25
48,029,152202,674,95,253,167,43
48,029,160100,606,137,598,439,177
48,029,160200,347,80,146,200,36
48,029,160300,813,54,476,319,20
48,029,160400,584,58,465,220,109
48,029,160501,355,65,549,189,0
48,029,160502,537,52,329,202,80
48,029,160600,534,74,530,266,11
48,029,160701,386,85,296,151,57
48,029,160702,574,116,417,636,100
48,029,160901,318,69,251,218,5
48,029,160902,646,99,381,160,40
48,029,161000,442,43,378,331,75
48,029,161100,1363,144,606,427,15
48,029,161200,397,45,211,117,23
48,029,161302,639,176,616,62,0
48,029,161303,486,76,410,118,21
48,029,161304,512,51,365,123,35
48,029,161400,264,33,52,13,0
48,029,161501,1034,197,688,571,37
48,029,161503,556,62,225,291,38
48,029,161504,673,38,299,163,32
48,029,161600,648,61,336,231,40
48,029,161801,524,135,110,390,42
48,029,161802,1084,107,458,169,117
48,029,161901,181,43,45,25,47
48,029,161902,1168,211,277,441,117
48,029,162001,337,39,126,111,29
48,029,162003,770,151,276,254,114
48,029,162004,569,136,132,192,71
48,029,170101,402,83,256,225,111
48,029,170102,587,69,271,177,75
48,029,170200,478,229,486,445,95
48,029,170300,620,109,532,340,58
48,029,170401,373,126,422,416,15
48,029,170402,474,110,443,412,22
48,029,170500,657,78,286,496,44
48,029,170600,708,90,184,438,46
48,029,170700,557,144,393,307,9
48,029,170800,113,51,132,177,6
48,029,170900,397,109,255,327,19
48,029,171000,676,90,570,240,65
48,029,171100,461,139,313,333,0
48,029,171200,402,72,373,190,77
48,029,171301,421,91,214,148,17
48,029,171302,548,10,205,211,79
48,029,171401,597,105,426,136,41
48,029,171402,563,70,574,294,25
48,029,171501,273,58,198,197,19
48,029,171502,622,116,390,422,0
48,029,171601,545,32,502,196,14
48,029,171602,461,13,236,166,0
