state,county,tract,B11001B_003E,B11001B_005E,B11001B_006E,B11001B_008E,B11001B_009E,B11001C_003E,B11001C_005E,B11001C_006E,B11001C_008E,B11001C_009E,B11001D_003E,B11001D_005E,B11001D_006E,B11001D_008E,B11001D_009E,B11001E_003E,B11001E_005E,B11001E_006E,B11001E_008E,B11001E_009E,B11001F_003E,B11001F_005E,B11001F_006E,B11001F_008E,B11001F_009E,B11001G_003E,B11001G_005E,B11001G_006E,B11001G_008E,B11001G_009E,B11001H_003E,B11001H_005E,B11001H_006E,B11001H_008E,B11001H_009E,B11001I_003E,B11001I_005E,B11001I_006E,B11001I_008E,B11001I_009E
48,001,950100,38,28,49,102,0,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,931,23,143,392,43,56,0,0,28,0
48,001,950401,0,16,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,4,0,0,0,0,21,0
48,001,950402,20,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,0,0,0,0,0,0,0,0
48,001,950500,29,50,92,40,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23,0,0,17,0,9,0,12,0,0,393,47,108,263,32,177,17,63,17,0
48,001,950600,182,183,145,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,0,0,0,0,4,0,0,632,94,148,289,46,242,10,11,43,0
48,001,950700,80,26,82,129,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,17,0,0,6,0,13,0,0,37,0,70,10,28,85,36,136,6,29,6,0
48,001,950800,39,23,144,15,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,18,0,717,42,114,500,36,123,0,0,97,0
48,001,950901,73,0,38,52,29,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,13,0,19,11,0,22,0,903,8,80,304,41,134,14,0,21,27
48,001,950902,18,9,33,33,23,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,12,0,1013,8,141,470,27,85,0,0,14,0
48,001,951000,29,5,17,44,2,9,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,5,0,19,0,0,15,0,1391,220,246,726,14,37,27,71,23,4
48,001,951100,68,5,31,48,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,892,65,107,421,40,51,0,14,0,17
48,003,950100,22,0,0,28,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,0,0,0,0,333,25,22,71,0,41,29,37,13,0
48,003,950200,33,36,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,71,15,0,55,0,39,0,0,0,0,789,28,86,407,19,693,123,47,146,73
48,003,950300,12,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,15,10,0,10,0,31,0,0,10,0,288,33,54,144,38,401,18,206,191,0
48,003,950400,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,10,0,0,17,0,244,14,30,93,19,312,59,9,38,13
48,005,000101,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,31,0,0,0,0,0,0,0,995,174,183,448,65,95,0,31,54,0
