state,county,tract,B08006_020E,B08006_021E,B08006_025E,B08006_031E,B08006_032E,B08006_033E,B08006_034E,B08006_037E,B08006_038E,B08006_042E,B08006_048E,B08006_049E,B08006_050E,B08006_051E
48,001,950100,1013,157,0,0,6,8,40,861,93,0,0,3,0,47
48,001,950401,84,3,0,0,0,0,0,48,4,0,0,23,0,0
48,001,950402,66,0,0,0,0,0,0,39,0,0,0,0,0,16
48,001,950500,752,49,0,0,9,6,9,712,58,16,0,0,0,10
48,001,950600,1432,265,0,0,80,8,23,849,93,0,0,0,11,0
48,001,950700,232,130,0,0,16,0,24,378,44,3,0,0,7,4
48,001,950800,1400,87,0,0,38,29,11,880,51,0,0,0,18,22
48,001,950901,1057,137,0,0,0,32,48,858,98,0,0,55,0,25
48,001,950902,999,169,0,0,0,8,7,737,254,0,0,0,0,5
48,001,951000,1624,147,0,0,38,7,82,1215,98,9,0,20,0,50
48,001,951100,921,61,0,0,6,15,9,675,46,30,0,0,11,33
48,003,950100,412,68,0,0,0,0,29,297,39,0,0,0,4,42
48,003,950200,1622,470,0,0,0,21,31,1131,84,0,0,0,15,57
48,003,950300,696,207,0,5,0,24,0,625,142,0,0,0,0,26
48,003,950400,591,168,0,0,0,17,0,575,81,0,0,3,0,11
48,005,000101,1001,163,0,0,38,29,0,903,143,0,0,12,0,76
48,005,000102,871,209,0,0,31,7,0,734,152,0,0,8,0,23
48,005,000200,1167,134,0,0,0,104,29,886,118,0,0,0,17,13
48,005,000301,906,104,0,0,18,15,35,740,139,10,0,0,0,44
48,005,000302,747,122,0,0,0,0,10,794,90,0,0,0,0,21
48,005,000400,619,137,0,9,60,0,22,1005,71,27,0,29,0,0
48,005,000500,645,50,0,0,27,20,21,632,63,0,0,20,25,28
48,005,000600,1020,121,0,61,10,0,9,920,213,0,0,21,48,18
48,005,000700,738,111,0,0,9,51,0,350,136,0,0,9,34,10
48,005,000800,958,143,0,0,0,9,46,1137,265,0,0,28,0,0
48,005,000901,1419,55,0,0,0,53,68,1302,153,0,0,0,0,12
48,005,000902,666,49,4,16,24,0,0,653,58,0,0,23,0,43
48,005,001001,885,149,0,0,0,7,0,784,145,0,0,26,0,20
48,005,001002,1047,149,4,0,44,26,33,863,47,0,0,34,13,0
48,005,001100,1044,129,0,0,0,79,44,964,88,0,0,33,0,18
48,005,001200,280,62,0,0,0,30,25,341,100,0,0,4,0,0
48,005,001300,792,145,0,0,0,0,29,548,47,0,0,0,11,27
48,007,950100,832,238,0,0,20,30,40,764,95,0,0,56,0,46
48,007,950200,135,16,0,0,0,15,27,161,0,0,0,0,0,9
48,007,950300,1267,194,0,0,65,0,90,1319,17,0,0,0,0,56
48,007,950400,409,92,0,0,49,9,25,493,61,0,0,0,4,14
48,007,950500,1195,138,0,0,0,56,43,669,137,0,0,13,0,38
48,007,990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,009,020100,647,96,0,0,0,8,33,531,45,0,0,19,7,20
48,009,020200,619,39,0,0,0,2,26,580,7,0,0,0,0,11
48,009,020300,691,83,0,0,5,8,37,540,56,0,0,6,0,36
48,011,950100,378,58,0,0,13,5,63,352,40,0,0,0,0,22
48,013,960100,1121,265,0,0,68,0,180,1084,163,0,0,14,0,55
48,013,960201,1363,383,0,0,51,15,118,1133,242,26,0,14,11,33
48,013,960202,1763,179,0,0,7,0,74,1316,116,0,0,14,0,93
48,013,960300,488,176,0,0,18,0,32,563,48,0,0,7,0,20
48,013,960401,243,193,0,0,7,0,16,166,24,0,0,0,39,14
48,013,960402,1494,219,0,0,9,0,44,1235,146,0,0,15,0,109
48,013,960500,448,165,0,0,6,0,50,366,74,0,0,26,0,14
