state,county,tract,travel.time.to.work_less than 10 minutes,travel.time.to.work_10 to 14 minutes,travel.time.to.work_15 to 19 minutes,travel.time.to.work_20 to 24 minutes,travel.time.to.work_25 to 29 minutes,travel.time.to.work_30 to 34 minutes,travel.time.to.work_35 to 44 minutes,travel.time.to.work_45 to 59 minutes,travel.time.to.work_60 minutes or more
48,001,950100,1380,840,3390,5120,4400,11320,8715,10165,20665
48,001,950401,,,,,,,,,
48,001,950402,,,,,,,,,
48,001,950500,,,,,,,,,
48,001,950600,,,,,,,,,
48,001,950700,,,,,,,,,
48,001,950800,,,,,,,,,
48,001,950901,,,,,,,,,
48,001,950902,1880,3190,6330,8520,3450,5930,6420,1745,4230
48,001,951000,1970,3195,5730,12740,10840,11940,6510,11020,16405
48,001,951100,1450,740,2405,9020,5900,6720,1725,2940,13300
48,003,950100,1405,730,1245,920,300,2070,2030,4735,10545
48,003,950200,,,,,,,,,
48,003,950300,,,,,,,,,
48,003,950400,,,,,,,,,
48,005,000101,2870,3500,3330,13820,3325,6600,,2745,3870
48,005,000102,,,,,,,,,
48,005,000200,,,,,,,,,
48,005,000301,,,,,,,,,
48,005,000302,670,5635,5595,4180,1000,4590,4510,2720,10350
48,005,000400,2790,5565,7440,1420,1400,5250,,,3450
48,005,000500,,,,,,,,,
48,005,000600,4225,6945,8625,1600,875,4830,,2235,2880
48,005,000700,,,,,,,,,
48,005,000800,,,,,,,,,
48,005,000901,,,,,,,,,
48,005,000902,,,,,,,,,
48,005,001001,,,,,,,,,
48,005,001002,1620,3605,7515,5040,3750,8800,1755,1755,17115
48,005,001100,760,2970,8990,9320,2525,11100,2030,4230,5705
48,005,001200,400,420,1185,1000,2575,5370,1770,4285,7800
48,005,001300,1285,2010,2925,5220,3475,3730,2680,6305,9300
48,007,950100,,,,,,,,,
48,007,950200,,,,,,,,,
48,007,950300,5320,10155,2220,2240,,4950,3370,6930,4640
48,007,950400,,,,,,,,,
48,007,950500,1365,4600,4980,4660,3225,7950,7420,10530,15600
48,007,990000,,,,,,,,,
48,009,020100,,,,,,,,,
48,009,020200,,,,,,,,,
48,009,020300,2045,580,1340,3265,4620,6965,2920,2315,4585
48,011,950100,745,410,450,660,580,4830,8185,2520,4620
48,013,960100,1165,4280,6255,4715,1075,11370,7095,18750,19265
48,013,960201,1695,2245,6630,2480,3950,8490,18685,23825,65245
48,013,960202,,,,,,,,,
48,013,960300,445,2590,4475,1220,,3030,3490,11500,8010
48,013,960401,125,400,555,600,1150,5850,1520,3630,13350
48,013,960402,,,,,,,,,
48,013,960500,,,,,,,,,
48,013,960600,2125,4095,4970,4540,1705,8490,925,6940,24610
48,015,760100,540,690,1995,2560,2000,3420,3870,5555,15740
48,015,760200,2015,2085,4485,6205,2690,7150,1690,11420,42105
48,015,760300,3510,6305,6360,10000,1500,9155,4390,10620,39270
48,015,760400,625,2125,3365,2130,2750,8970,2465,1075,16260
48,015,760501,,,,,,,,,
48,015,760502,,,,,,,,,
48,017,950100,4815,6685,3495,3220,1050,7620,9730,1485,27970
48,019,000101,2710,950,2010,3055,750,5250,4260,9120,24210
48,019,000102,470,3795,5190,2720,1875,11430,6130,9615,26875
48,019,000200,,,,,,,,,
48,019,000300,,,,,,,,,
48,019,000400,,,,,,,,,
48,021,950100,1800,3770,4365,4045,2125,10220,18875,60185,40640
48,021,950200,3415,1890,4470,5580,5510,13050,20125,15865,42885
48,021,950300,4430,4010,7740,6680,6975,24150,25205,53120,46780
48,021,950400,3300,3070,7020,6640,1550,11070,12295,19095,31865
48,021,950501,1675,3075,8290,4000,2850,5940,6845,24010,30740
48,021,950502,1035,1400,4845,5980,2125,4200,6900,19700,37880
48,021,950600,1095,2655,4350,3100,3550,2850,4745,16630,29065
48,021,950700,,,,,,,,,
48,021,950801,390,,2070,3660,3425,18030,11385,33480,31530
48,021,950802,850,1170,2445,4500,3350,15180,12340,22460,40195
48,023,950300,,,,,,,,,
