STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
48,001,950100,4685,+31.999364,-095.531821
48,001,950401,5422,+31.755614,-095.823901
48,001,950402,7535,+31.784637,-095.902841
48,001,950500,4377,+31.776938,-095.631712
48,001,950600,6405,+31.747594,-095.666055
48,001,950700,2640,+31.753973,-095.632341
48,001,950800,5246,+31.744040,-095.614669
48,001,950901,5938,+31.733666,-095.726988
48,001,950902,4834,+31.794552,-095.573607
48,001,951000,6988,+31.631683,-095.547846
48,001,951100,4388,+31.908451,-095.811453
48,003,950100,1678,+32.341820,-102.557646
48,003,950200,6473,+32.328108,-102.553267
48,003,950300,3924,+32.315355,-102.550083
48,003,950400,2711,+32.302912,-102.494399
48,005,000101,6311,+31.426703,-094.820993
48,005,000102,4447,+31.339704,-094.831644
48,005,000200,6580,+31.349669,-094.679339
48,005,000301,5326,+31.368774,-094.777327
48,005,000302,4613,+31.300936,-094.780203
48,005,000400,5479,+31.340195,-094.748676
48,005,000500,4006,+31.361285,-094.735140
48,005,000600,6416,+31.348284,-094.704444
48,005,000700,3292,+31.336123,-094.725415
48,005,000800,6299,+31.316374,-094.707925
48,005,000901,6342,+31.315576,-094.750119
48,005,000902,3745,+31.283367,-094.726676
48,005,001001,5377,+31.194671,-094.793822
48,005,001002,4289,+31.190839,-094.741161
48,005,001100,6079,+31.308321,-094.603119
48,005,001200,2989,+31.160202,-094.387148
48,005,001300,5181,+31.259056,-094.524004
48,007,950100,5495,+28.088876,-097.046145
48,007,950200,1163,+28.044175,-097.034851
48,007,950300,6609,+28.039886,-097.058926
48,007,950400,3583,+28.017569,-097.069779
48,007,950500,6308,+27.973067,-097.115835
48,007,990000,0,+27.930529,-096.938114
48,009,020100,2660,+33.809427,-098.561486
48,009,020200,2780,+33.748319,-098.729774
48,009,020300,3614,+33.593539,-098.554513
48,011,950100,1901,+35.085722,-101.392092
48,013,960100,6972,+28.985503,-098.432076
48,013,960201,6234,+29.194769,-098.758454
48,013,960202,9342,+29.129620,-098.625598
48,013,960300,3595,+29.039325,-098.576320
48,013,960401,2294,+29.117415,-098.505424
48,013,960402,7801,+28.966066,-098.499856
48,013,960500,2684,+28.871198,-098.702975
48,013,960600,5989,+28.904997,-098.547336
48,015,760100,2400,+29.643339,-096.079960
48,015,760200,6032,+29.776836,-096.119315
48,015,760300,7037,+29.782621,-096.199578
48,015,760400,3660,+29.961463,-096.461046
48,015,760501,4184,+30.000610,-096.268638
48,015,760502,5104,+29.941278,-096.231129
48,017,950100,7165,+34.216557,-102.745529
48,019,000101,4330,+29.714530,-099.034317
48,019,000102,4913,+29.767409,-099.045034
48,019,000200,2726,+29.779816,-099.325756
48,019,000300,6369,+29.655215,-098.937298
48,019,000400,2147,+29.581768,-098.944461
48,021,950100,8608,+30.289893,-097.358593
48,021,950200,7955,+30.350023,-097.376370
48,021,950300,12927,+30.110441,-097.425839
48,021,950400,7984,+30.105307,-097.308481
48,021,950501,8008,+30.192051,-097.296557
48,021,950502,6409,+30.143604,-097.215473
48,021,950600,5184,+29.995243,-097.219435
48,021,950700,4189,+30.006747,-097.154312
48,021,950801,6520,+30.092171,-097.550323
48,021,950802,6387,+30.014152,-097.539339
48,023,950300,3726,+33.596338,-099.261330
48,025,950100,2002,+28.593480,-097.853921
48,025,950201,7928,+28.373413,-097.686691
48,025,950202,5059,+28.417724,-097.772577
48,025,950300,5093,+28.416514,-097.751069
48,025,950400,2006,+28.404901,-097.748262
48,025,950500,7343,+28.393642,-097.741683
48,025,950600,2430,+28.227142,-097.676841
48,027,020100,6219,+31.170783,-097.274699
48,027,020201,6017,+31.132256,-097.467729
48,027,020202,6574,+31.188315,-097.456270
48,027,020300,7838,+31.115638,-097.426721
48,027,020401,3008,+31.121419,-097.360518
48,027,020402,2803,+31.107808,-097.312534
48,027,020500,3810,+31.113160,-097.332557
48,027,020600,2574,+31.113562,-097.341707
48,027,020701,1343,+31.100313,-097.341658
48,027,020702,2172,+31.094805,-097.351686
48,027,020800,3528,+31.082881,-097.326758
48,027,020900,2998,+31.074330,-097.340172
48,027,021000,4610,+31.082289,-097.354177
48,027,021100,5402,+31.087041,-097.372603
48,027,021201,3021,+31.113280,-097.386277
48,027,021202,4130,+31.102865,-097.379961
48,027,021203,4298,+31.083026,-097.395276
48,027,021301,4796,+31.058065,-097.381208
48,027,021302,2865,+31.069694,-097.388688
48,027,021303,6153,+31.053665,-097.372815
48,027,021400,3834,+30.998882,-097.346297
48,027,021500,6538,+31.036926,-097.469166
48,027,021601,5080,+31.057297,-097.472823
48,027,021602,2499,+31.067643,-097.469495
48,027,021700,7338,+31.086547,-097.473432
48,027,021800,8440,+31.068079,-097.586021
48,027,021901,3463,+31.077948,-097.664855
48,027,021903,8350,+31.058776,-097.664952
48,027,021904,8823,+31.059108,-097.638587
48,027,022000,7952,+31.098980,-097.628350
48,027,022101,4256,+31.126260,-097.700525
48,027,022103,5518,+31.132509,-097.691247
48,027,022104,4399,+31.119424,-097.676664
48,027,022105,2317,+31.126662,-097.672939
48,027,022200,3258,+31.115430,-097.698691
48,027,022300,4010,+31.101060,-097.697108
48,027,022401,5567,+31.094933,-097.707300
48,027,022402,4402,+31.051337,-097.690137
48,027,022403,4513,+31.068379,-097.704495
48,027,022404,7400,+31.064895,-097.692900
48,027,022405,1750,+31.082647,-097.714547
48,027,022501,3423,+31.102476,-097.724331
48,027,022502,9542,+31.065846,-097.727099
48,027,022600,4292,+31.123213,-097.717395
48,027,022801,2540,+31.130603,-097.729071
48,027,022900,3672,+31.111565,-097.738233
48,027,023000,7028,+31.084985,-097.742488
48,027,023103,4467,+31.097239,-097.753875
48,027,023104,3235,+31.106244,-097.757378
48,027,023105,8805,+31.077184,-097.795878
48,027,023106,9716,+31.100973,-097.794497
48,027,023107,7105,+31.087168,-097.759554
48,027,023108,13856,+31.099269,-097.776355
48,027,023201,2684,+31.128784,-097.754676
48,027,023202,5198,+31.125635,-097.776620
48,027,023203,2909,+31.116777,-097.753153
48,027,023204,4486,+31.137741,-097.734570
48,027,023300,6966,+31.004582,-097.787741
48,027,023402,4862,+30.914928,-097.305130
48,027,023403,5400,+30.958421,-097.513517
48,027,023404,3709,+30.906350,-097.556911
48,027,023500,2155,+31.124454,-097.735639
48,027,980001,319,+31.082451,-097.845450
48,027,980002,0,+31.068779,-097.829099
48,027,980003,0,+31.161555,-097.599169
48,029,110100,3379,+29.426887,-098.493440
48,029,110300,2542,+29.413645,-098.481576
48,029,110500,2238,+29.419314,-098.510832
48,029,110600,7553,+29.429490,-098.507298
48,029,110700,1398,+29.437044,-098.500754
48,029,110800,1965,+29.442647,-098.492175
48,029,110900,549,+29.441035,-098.484852
48,029,111000,2125,+29.440967,-098.469605
48,029,120100,7129,+29.461504,-098.440810
48,029,120300,7031,+29.482942,-098.467050
48,029,120400,5733,+29.475857,-098.446647
48,029,120501,8151,+29.489644,-098.416077
48,029,120502,5155,+29.503758,-098.407894
48,029,120600,5970,+29.490225,-098.444804
48,029,120701,5326,+29.511449,-098.468301
48,029,120702,4477,+29.500926,-098.470213
48,029,120800,6334,+29.504348,-098.446984
48,029,120901,2077,+29.520980,-098.438710
48,029,120902,6123,+29.510536,-098.424417
48,029,121000,7095,+29.530566,-098.442540
48,029,121108,7109,+29.565135,-098.468885
48,029,121110,4895,+29.583005,-098.412412
48,029,121111,6591,+29.566086,-098.398056
48,029,121112,3771,+29.560649,-098.411407
48,029,121115,5141,+29.576023,-098.453232
48,029,121116,4839,+29.585315,-098.463326
48,029,121117,4448,+29.596410,-098.460617
48,029,121118,5620,+29.592835,-098.447355
48,029,121119,5362,+29.563606,-098.450927
48,029,121120,5103,+29.560267,-098.433828
48,029,121121,3001,+29.586911,-098.433306
48,029,121122,5390,+29.574847,-098.426583
48,029,121203,3996,+29.531803,-098.393910
48,029,121204,7747,+29.525515,-098.418973
48,029,121205,3496,+29.542522,-098.406937
48,029,121206,7267,+29.552604,-098.393425
48,029,121300,6072,+29.521368,-098.380797
48,029,121402,5584,+29.492191,-098.368150
48,029,121403,4957,+29.504175,-098.383246
48,029,121404,4945,+29.488196,-098.389916
48,029,121501,7831,+29.538268,-098.347541
48,029,121504,6923,+29.530276,-098.363162
48,029,121505,4571,+29.524595,-098.328587
48,029,121506,5742,+29.511514,-098.341214
48,029,121507,5036,+29.515864,-098.355889
48,029,121508,5064,+29.506447,-098.356829
48,029,121601,4754,+29.550653,-098.308432
48,029,121604,7247,+29.533716,-098.315457
48,029,121605,1921,+29.545353,-098.332847
48,029,121606,4860,+29.554985,-098.336185
48,029,121701,3771,+29.553550,-098.294688
48,029,121702,6960,+29.566001,-098.313939
48,029,121802,8176,+29.571826,-098.357630
48,029,121803,4549,+29.556322,-098.366348
48,029,121804,6353,+29.567081,-098.376023
48,029,121808,3436,+29.583608,-098.389812
48,029,121809,4982,+29.578382,-098.381947
48,029,121810,4387,+29.590332,-098.403299
48,029,121811,4476,+29.596125,-098.395569
48,029,121812,6028,+29.591230,-098.369710
48,029,121813,1637,+29.598825,-098.378105
48,029,121903,4765,+29.627687,-098.433644
48,029,121904,3564,+29.638854,-098.439393
48,029,121905,5776,+29.649677,-098.434837
48,029,121906,5561,+29.616374,-098.451078
48,029,121907,9329,+29.669347,-098.419709
48,029,121908,2474,+29.706313,-098.426105
48,029,121909,4510,+29.586290,-098.332462
48,029,121910,4736,+29.632502,-098.406896
48,029,130200,1755,+29.415591,-098.469554
48,029,130300,3303,+29.407350,-098.467369
48,029,130401,4107,+29.408039,-098.454515
48,029,130402,3972,+29.404767,-098.440271
48,029,130500,4146,+29.419850,-098.452793
48,029,130600,4595,+29.429442,-098.453232
48,029,130700,1728,+29.441166,-098.453308
48,029,130800,4848,+29.432081,-098.429092
48,029,130900,4689,+29.431790,-098.410288
48,029,131000,5066,+29.417660,-098.405722
48,029,131100,2438,+29.407536,-098.427835
48,029,131200,3361,+29.396493,-098.410178
48,029,131300,5559,+29.396656,-098.397319
48,029,131401,6632,+29.380251,-098.376803
48,029,131402,2622,+29.398774,-098.378201
48,029,131503,3146,+29.463048,-098.389785
48,029,131504,4113,+29.454612,-098.392189
48,029,131505,3567,+29.472421,-098.365450
48,029,131506,3470,+29.454444,-098.368173
48,029,131507,6136,+29.465534,-098.370429
48,029,131601,2518,+29.520976,-098.253655
48,029,131606,4895,+29.498794,-098.298621
48,029,131608,4789,+29.516114,-098.305808
48,029,131609,8136,+29.502659,-098.328161
48,029,131610,5436,+29.493895,-098.317559
48,029,131611,1197,+29.492942,-098.340099
48,029,131612,1512,+29.464709,-098.322569
48,029,131613,5262,+29.484694,-098.324671
48,029,131614,3707,+29.472635,-098.340960
48,029,131615,7800,+29.472463,-098.352634
48,029,131700,1241,+29.531759,-098.279766
48,029,131801,2627,+29.429963,-098.191905
48,029,131802,5486,+29.408570,-098.292045
48,029,140100,1645,+29.406519,-098.478557
48,029,140200,3033,+29.396278,-098.481042
48,029,140300,3358,+29.387341,-098.481479
48,029,140400,3824,+29.396062,-098.467202
48,029,140500,4042,+29.395804,-098.454783
48,029,140600,2632,+29.392581,-098.444386
48,029,140700,4734,+29.387473,-098.460793
48,029,140800,5028,+29.377380,-098.469760
48,029,140900,1948,+29.379727,-098.452570
48,029,141000,3557,+29.370486,-098.459449
48,029,141101,4438,+29.356262,-098.449262
48,029,141102,3973,+29.362356,-098.445719
48,029,141200,6885,+29.378726,-098.439910
48,029,141300,5591,+29.377232,-098.417320
48,029,141402,3622,+29.347470,-098.418037
48,029,141403,3717,+29.359397,-098.427403
48,029,141404,4401,+29.366826,-098.428956
48,029,141600,4410,+29.330311,-098.432857
48,029,141700,5224,+29.315285,-098.398253
48,029,141800,4554,+29.260631,-098.351451
48,029,141900,5546,+29.334835,-098.297523
48,029,150100,5099,+29.402193,-098.502607
48,029,150300,4702,+29.388197,-098.502561
48,029,150400,3974,+29.387935,-098.517536
48,029,150501,4372,+29.378713,-098.524728
48,029,150502,3940,+29.372369,-098.526069
48,029,150600,4371,+29.374900,-098.510400
48,029,150700,6162,+29.374682,-098.496255
48,029,150800,3165,+29.369031,-098.478319
48,029,150900,5913,+29.363070,-098.493148
48,029,151000,3365,+29.363228,-098.510127
48,029,151100,6936,+29.362971,-098.530112
