AQS Code	TCEQ Region	Reg#	Latitude	Longitude
480010647	TYLER	05	31.7794440	-95.7058330
480055013	BEAUMONT	10	31.2338890	-94.7500000
480210684	AUSTIN	11	30.1408770	-97.4588971
480250001	CORPUS CHRISTI	14	28.4188890	-97.7525000
480250641	CORPUS CHRISTI	14	28.3597220	-97.7900000
480270001	WACO	09	31.1566670	-97.4083330
480270651	WACO	09	30.9975000	-97.3394440
480271045	WACO	09	31.1224187	-97.4310523
480271047	WACO	09	31.0880022	-97.6797343
480290001	SAN ANTONIO	13	29.2819440	-98.2958330
480290002	SAN ANTONIO	13	0	0
480290003	SAN ANTONIO	13	29.6419440	-98.4186110
480290004	SAN ANTONIO	13	29.5200000	-98.8027780
480290005	SAN ANTONIO	13	29.5061110	-98.5702780
480290006	SAN ANTONIO	13	29.5719440	-98.5252780
480290007	SAN ANTONIO	13	29.5208330	-98.4777780
480290008	SAN ANTONIO	13	29.5208330	-98.4777780
480290009	SAN ANTONIO	13	29.5111110	-98.2919440
480290011	SAN ANTONIO	13	29.3855560	-98.6383330
480290012	SAN ANTONIO	13	29.4236110	-98.5791670
480290013	SAN ANTONIO	13	29.4708330	-98.5194440
480290014	SAN ANTONIO	13	29.5616670	-98.6800000
480290015	SAN ANTONIO	13	29.4444440	-98.4130560
480290017	SAN ANTONIO	13	29.3275000	-98.5375000
480290018	SAN ANTONIO	13	29.3525000	-98.4538890
480290019	SAN ANTONIO	13	29.3650000	-98.3180560
480290020	SAN ANTONIO	13	29.2255560	-98.6666670
480290021	SAN ANTONIO	13	29.2666670	-98.3861110
480290022	SAN ANTONIO	13	29.5277780	-98.4744440
480290023	SAN ANTONIO	13	29.5900000	-98.6411110
480290024	SAN ANTONIO	13	29.4375000	-98.5644440
480290026	SAN ANTONIO	13	29.3677780	-98.5436110
480290027	SAN ANTONIO	13	29.4350000	-98.4161110
480290029	SAN ANTONIO	13	29.5083330	-98.4033330
480290032	SAN ANTONIO	13	29.5150900	-98.6201660
480290033	SAN ANTONIO	13	29.3594440	-98.4488890
480290034	SAN ANTONIO	13	29.4152780	-98.4847220
480290035	SAN ANTONIO	13	29.4400000	-98.8247220
480290036	SAN ANTONIO	13	29.5047220	-98.5388890
480290037	SAN ANTONIO	13	29.4375000	-98.5644440
480290038	SAN ANTONIO	13	29.3702780	-98.5458330
480290039	SAN ANTONIO	13	29.4350000	-98.4125000
480290040	SAN ANTONIO	13	29.3619440	-98.4472220
480290041	SAN ANTONIO	13	29.4291670	-98.4938890
480290042	SAN ANTONIO	13	29.3727780	-98.5400000
480290044	SAN ANTONIO	13	29.5188890	-98.4730560
480290045	SAN ANTONIO	13	29.5888890	-98.3583330
480290046	SAN ANTONIO	13	29.4269440	-98.4863890
480290047	SAN ANTONIO	13	29.3166670	-98.4500000
480290048	SAN ANTONIO	13	29.4402780	-98.6125000
480290050	SAN ANTONIO	13	29.5302780	-98.4783330
480290051	SAN ANTONIO	13	29.4450463	-98.4065010
480290052	SAN ANTONIO	13	29.6320582	-98.5649364
480290053	SAN ANTONIO	13	29.5877408	-98.3125118
480290055	SAN ANTONIO	13	29.4072945	-98.4312510
480290059	SAN ANTONIO	13	29.2753812	-98.3116919
480290060	SAN ANTONIO	13	29.4221832	-98.5053810
480290501	SAN ANTONIO	13	29.2766670	-98.7244440
480290502	SAN ANTONIO	13	29.7300000	-98.6255560
480290622	SAN ANTONIO	13	29.3529047	-98.3328207
480290623	SAN ANTONIO	13	29.3319444	-98.3258333
480290625	SAN ANTONIO	13	29.2922222	-98.3377778
480290626	SAN ANTONIO	13	29.3177778	-98.3316667
480290676	SAN ANTONIO	13	29.3327898	-98.5513832
480290677	SAN ANTONIO	13	29.4239439	-98.5804991
480291001	SAN ANTONIO	13	29.4663890	-98.4483330
480291002	SAN ANTONIO	13	29.4736110	-98.4319440
480291052	SAN ANTONIO	13	29.3420000	-98.4720000
480291069	SAN ANTONIO	13	29.5294000	-98.3913900
480291080	SAN ANTONIO	13	29.3529110	-98.3328140
480292001	SAN ANTONIO	13	29.4233330	-98.4986110
480292002	SAN ANTONIO	13	29.6277780	-98.6088890
480370001	TYLER	05	33.4369440	-94.0786110
480370003	TYLER	05	33.4294440	-94.0527780
480370004	TYLER	05	33.4257582	-94.0708021
480370645	TYLER	05	33.5000000	-94.1200000
480371031	TYLER	05	33.4361110	-94.0777800
480390001	HOUSTON	12	29.3952780	-95.2355560
480390618	HOUSTON	12	29.1442910	-95.7566010
480390619	HOUSTON	12	29.3085620	-95.1999100
480391001	HOUSTON	12	28.9938890	-95.3347220
480391002	HOUSTON	12	29.0269440	-95.4083330
480391003	HOUSTON	12	29.0108409	-95.3977440
480391004	HOUSTON	12	29.5204432	-95.3925089
480391012	HOUSTON	12	28.9644300	-95.3548300
480391016	HOUSTON	12	29.0437592	-95.4729462
480391607	HOUSTON	12	29.0105560	-95.3133330
480410001	WACO	09	30.6747220	-96.3708330
480415011	WACO	09	30.5822222	-96.3511111
480430001	EL PASO	06	30.3416670	-103.6583330
480430002	EL PASO	06	30.3658330	-103.6491670
480430101	EL PASO	06	29.3025518	-103.1779076
480490001	ABILENE	03	31.7291670	-99.0166670
480490002	ABILENE	03	31.6794440	-98.9652780
480530322	AUSTIN	11	30.7324069	-98.2365001
480535009	AUSTIN	11	30.7388889	-98.2386111
480550062	AUSTIN	11	29.8880560	-97.8777780
480551604	AUSTIN	11	29.8649170	-97.6649360
480570001	CORPUS CHRISTI	14	28.6750000	-96.5666670
480570657	CORPUS CHRISTI	14	28.4341670	-96.4547220
480610002	HARLINGEN	15	25.8830560	-97.4919440
480610003	HARLINGEN	15	25.9369440	-97.4086110
480610004	HARLINGEN	15	25.9122220	-97.4938890
480610005	HARLINGEN	15	0	0
480610006	HARLINGEN	15	25.8925176	-97.4938295
480611001	HARLINGEN	15	26.0808330	-97.8500000
480611002	HARLINGEN	15	26.2080560	-97.6950000
480611023	HARLINGEN	15	26.2003347	-97.7126837
480612001	HARLINGEN	15	26.2061110	-97.7188890
480612002	HARLINGEN	15	26.1351726	-97.6300394
480612004	HARLINGEN	15	26.0696153	-97.1621996
480613001	HARLINGEN	15	26.0750000	-97.2083330
480614001	HARLINGEN	15	26.1350000	-97.6333330
480650004	AMARILLO	01	35.3359717	-101.5870830
480650005	AMARILLO	01	35.3529795	-101.5806223
480650007	AMARILLO	01	35.3827490	-101.5608419
480651001	AMARILLO	01	35.1825000	-101.6219440
480710001	HOUSTON	12	29.6475000	-94.9161110
480710002	HOUSTON	12	29.8563890	-94.8958330
480710003	HOUSTON	12	29.7677780	-94.6777780
480710004	HOUSTON	12	29.8183330	-94.3777780
480710013	HOUSTON	12	29.5462437	-94.7869686
480710900	HOUSTON	12	29.8788890	-94.9213890
480710901	HOUSTON	12	29.7658330	-94.9102780
480711606	HOUSTON	12	29.5457890	-94.7813860
480850001	DALLAS/FORT WORTH	04	33.1450000	-96.8227780
480850002	DALLAS/FORT WORTH	04	33.1388890	-96.8275000
480850003	DALLAS/FORT WORTH	04	33.1423361	-96.8246832
480850005	DALLAS/FORT WORTH	04	33.1324003	-96.7864188
480850006	DALLAS/FORT WORTH	04	33.1344440	-96.8250000
480850007	DALLAS/FORT WORTH	04	33.1474141	-96.8257693
480850008	DALLAS/FORT WORTH	04	33.1475000	-96.8288890
480850009	DALLAS/FORT WORTH	04	33.1446618	-96.8288087
480850010	DALLAS/FORT WORTH	04	33.3558330	-96.5511110
480850029	DALLAS/FORT WORTH	04	33.1360249	-96.8244725
480850085	DALLAS/FORT WORTH	04	33.2466670	-96.6566670
480910001	SAN ANTONIO	13	29.7002780	-98.1211110
480910002	SAN ANTONIO	13	29.7213890	-98.1269440
480910503	SAN ANTONIO	13	29.7608333	-98.4627778
480910505	SAN ANTONIO	13	29.6391667	-98.2986111
480971504	DALLAS/FORT WORTH	04	33.6331700	-97.1538050
481090001	EL PASO	06	31.0416670	-104.8333330
481090658	EL PASO	06	31.8911110	-104.8061110
481095018	EL PASO	06	31.8311110	-104.8144440
